group,variable,smd,abs_smd
Demographics,sex_at_birth: Female,-0.17032948917889323,0.17032948917889323
Demographics,sex_at_birth: Male,0.17416036470969667,0.17416036470969667
Demographics,age_group: <45,-0.14088974354483813,0.14088974354483813
Demographics,age_group: 45-54,-0.06691760175784343,0.06691760175784343
Demographics,age_group: 55-64,0.09487643241091105,0.09487643241091105
Demographics,age_group: 65+,0.09786268807888451,0.09786268807888451
Demographics,race: White,-0.2478631213396015,0.2478631213396015
Demographics,race: Black,0.28969702057944036,0.28969702057944036
Demographics,race: Asian,-0.010904291004327599,0.010904291004327599
Demographics,race: Other,0.004897369194571545,0.004897369194571545
Demographics,ethnicity: Not Hispanic,0.0015603684558354821,0.0015603684558354821
Demographics,ethnicity: Hispanic,-0.010371290608808629,0.010371290608808629
Demographics,ethnicity: Other,0.021292564124298825,0.021292564124298825
Clinical,Vaccinated,-0.2545319250888149,0.2545319250888149
Clinical,Wave: pre_delta,0.08452704778731261,0.08452704778731261
Clinical,Wave: delta,0.0405801898181856,0.0405801898181856
Clinical,Wave: omicron,-0.11871351656734595,0.11871351656734595
Comorbidities,Myocardial Infarction,0.07076018979730975,0.07076018979730975
Comorbidities,Congestive Heart Failure,0.13863919094929186,0.13863919094929186
Comorbidities,Peripheral Vascular Disease,0.0637766542613488,0.0637766542613488
Comorbidities,Cerebrovascular Disease,0.0890173097143315,0.0890173097143315
Comorbidities,Dementia,0.04844456802686614,0.04844456802686614
Comorbidities,Chronic Pulmonary Disease,-0.08080190791415505,0.08080190791415505
Comorbidities,Rheumatic Disease,-0.04601834951235792,0.04601834951235792
Comorbidities,Peptic Ulcer Disease,0.004262764437128896,0.004262764437128896
Comorbidities,Liver Disease Mild,-0.11899462026318974,0.11899462026318974
Comorbidities,Liver Disease Moderate Severe,0.09031104252800666,0.09031104252800666
Comorbidities,Diabetes without Chronic Complications,0.01474887665443896,0.01474887665443896
Comorbidities,Diabetes with Chronic Complications,0.09391554417159091,0.09391554417159091
Comorbidities,Hemiplegia Paraplegia,0.012724447039584662,0.012724447039584662
Comorbidities,Renal Disease Mild Moderate,0.04862116636438944,0.04862116636438944
Comorbidities,Renal Disease Severe,0.13465955908771982,0.13465955908771982
Comorbidities,HIV,0.02517431904951901,0.02517431904951901
Comorbidities,Metastatic Solid Tumor,0.045667667000075775,0.045667667000075775
Comorbidities,Malignancy,0.02955552007556203,0.02955552007556203
Comorbidities,AIDS,-0.006487832537510619,0.006487832537510619
SDoH,insurance_type: Employer,-0.1691941635906652,0.1691941635906652
SDoH,insurance_type: Medicare,0.017800355276854626,0.017800355276854626
SDoH,insurance_type: Medicaid,0.18890261423809845,0.18890261423809845
SDoH,insurance_type: Other_None,0.02755239873690985,0.02755239873690985
SDoH,income: less_10k,0.12627025282196497,0.12627025282196497
SDoH,income: 10k_25k,0.10446047996954735,0.10446047996954735
SDoH,income: 25k_35k,0.002652259213141107,0.002652259213141107
SDoH,income: 35k_100k,-0.15026543514305488,0.15026543514305488
SDoH,income: 100k_150k,-0.03425991171879137,0.03425991171879137
SDoH,income: 150k_200k,-0.027983482563626153,0.027983482563626153
SDoH,income: more_200k,-0.037162819565862946,0.037162819565862946
SDoH,education: Below_GED,0.11429070998080185,0.11429070998080185
SDoH,education: GED_or_College,0.03575799984432127,0.03575799984432127
SDoH,education: Advanced,-0.12317688547173068,0.12317688547173068
SDoH,employment: Employed,-0.22077575385932044,0.22077575385932044
SDoH,employment: Unemployed,0.12111369940781973,0.12111369940781973
SDoH,employment: Others,0.09872579958973493,0.09872579958973493
SDoH,housing: Own,-0.11968033281988072,0.11968033281988072
SDoH,housing: Rent,0.15111944676059513,0.15111944676059513
SDoH,housing_stability: Stable,-0.022275824095616424,0.022275824095616424
SDoH,housing_stability: Unstable,0.0222758240956165,0.0222758240956165
SDoH,disability_any: Yes,0.03235542051345192,0.03235542051345192
SDoH,disability_any: No,-0.03235542051345192,0.03235542051345192
