variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7315383470158743,0.6874890802091111,0.7784099683327967,5.852427113233558e-23,base,aou_v7
f.sexOther,0.6829513346915789,0.5127824535039947,0.9095914307710911,0.00910446205962787,base,aou_v7
f.age45-54,0.869443944634111,0.796833570748058,0.9486708399487515,0.0016649393900008637,base,aou_v7
f.age55-64,0.9732764109668931,0.8960669736306065,1.0571385845262689,0.520656218723269,base,aou_v7
f.age65+,1.0242963257127304,0.9412399569173836,1.114681708057461,0.5779324014707199,base,aou_v7
f.vaccVaccinated,0.6684653827301366,0.6151908098965162,0.7263534511897435,1.9958584661955017e-21,base,aou_v7
f.raceBlack,2.463474193088019,2.2925672236512837,2.64712198508416,2.23590354320182e-133,base,aou_v7
f.raceAsian,1.3088018526553398,1.0441222161870192,1.6405764219533001,0.01956650787214324,base,aou_v7
f.raceOther,1.4290963860324186,1.234030073302004,1.6549973333357364,1.8565287739861831e-6,base,aou_v7
f.ethnicityHispanic,0.9882389126265526,0.8535035021154012,1.1442438677858688,0.8742980156535793,base,aou_v7
f.ethnicityOther,0.9862706810067338,0.7971760365486014,1.2202196398488732,0.8987051296300514,base,aou_v7
Myocardial_Infarction,0.9580610848922541,0.8729765386301638,1.0514383855323548,0.36657069368848627,base,aou_v7
Congestive_Heart_Failure,1.077095576509084,0.9939259660557034,1.1672246430378672,0.0700785913658714,base,aou_v7
Peripheral_Vascular_Disease,0.9499891163910662,0.8767303258497444,1.0293693449998753,0.2101934196803083,base,aou_v7
Cerebrovascular_Disease,1.138315346736835,1.0517915777524052,1.2319568401427408,0.0013184917029590887,base,aou_v7
Dementia,1.0555896247848204,0.9027663147058298,1.2342833774390964,0.49776404584433187,base,aou_v7
Chronic_Pulmonary_Disease,0.937639993866189,0.8822571794738441,0.9964994091878072,0.03818225379084792,base,aou_v7
Rheumatic_Disease,0.9377768587043572,0.855961488961524,1.0274123871955445,0.1677850633571101,base,aou_v7
Peptic_Ulcer_Disease,0.9871580562523431,0.8924868111616967,1.0918716286187808,0.8016009391499943,base,aou_v7
Liver_Disease_Mild,0.8124350094746597,0.7578566671309103,0.8709439043650651,4.7851519221855704e-9,base,aou_v7
Liver_Disease_Moderate_Severe,0.8983853440757245,0.7650567052747758,1.0549495493411607,0.19109073269963892,base,aou_v7
Diabetes_without_Chronic_Complications,0.9533085772100817,0.8787944362014162,1.0341408706575124,0.24951278152159614,base,aou_v7
Diabetes_with_Chronic_Complications,0.9948118618091639,0.9182477415586834,1.0777599503989288,0.8987007779248984,base,aou_v7
Hemiplegia_Paraplegia,1.0597639913478076,0.9297283836235345,1.2079869100911538,0.38480254633427047,base,aou_v7
Renal_Disease_Mild_Moderate,0.9715400905237178,0.8909470880560351,1.0594233486461195,0.5134405621621547,base,aou_v7
Renal_Disease_Severe,1.1274812699948678,1.0107233692403998,1.2577269437676202,0.03145756827790476,base,aou_v7
HIV,0.9328863464188246,0.6957203907842543,1.2509004290554704,0.642507954385727,base,aou_v7
Metastatic_Solid_Tumor,1.067237453455933,0.9314147888324983,1.222866327350034,0.34877444294619514,base,aou_v7
Malignancy,1.0625968039408589,0.9814744365396668,1.150424224726809,0.13400538438929913,base,aou_v7
AIDS,0.8539688258538781,0.8006174704307671,0.9108753961337815,1.6174040914504077e-6,base,aou_v7
f.sexFemale,0.737456757395428,0.692794892248304,0.7849978039867839,1.2397129277220234e-21,insurance,aou_v7
f.sexOther,0.6777560779051013,0.5085100310346309,0.9033318383173106,0.007964557720075552,insurance,aou_v7
f.age45-54,0.8871953926658939,0.8125968685358907,0.9686422569973568,0.007563016443945289,insurance,aou_v7
f.age55-64,0.9947218413184717,0.9151012084912428,1.0812700632615106,0.9010546848203308,insurance,aou_v7
f.age65+,1.0806265241972721,0.9830451233059788,1.187894285942363,0.1083052591103292,insurance,aou_v7
f.vaccVaccinated,0.6749997483514021,0.621069452014487,0.73361305856632,2.2143071949462457e-20,insurance,aou_v7
f.raceBlack,2.264500050580218,2.1043752362564123,2.436808982888536,8.666288437728394e-106,insurance,aou_v7
f.raceAsian,1.3449309440622081,1.0716990764523153,1.6878238341717426,0.010538733708577247,insurance,aou_v7
f.raceOther,1.3649777910209502,1.177393000152379,1.5824489951437632,3.7063222578748605e-5,insurance,aou_v7
f.ethnicityHispanic,0.9160838609387149,0.7899430072538454,1.062367325954068,0.24621871443899132,insurance,aou_v7
f.ethnicityOther,0.9749351853253496,0.787353068428258,1.2072076095198214,0.8158978601000185,insurance,aou_v7
