variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7634421555696616,0.705940424400812,0.8256276376233272,1.4184919523374237e-11,base_no_aids,aou_v7
f.sexOther,0.6315830549002841,0.43521646976660205,0.916548850853682,0.015578287109723058,base_no_aids,aou_v7
f.age45-54,1.025755120654429,0.9130485860212986,1.1523741273547499,0.6685024499049039,base_no_aids,aou_v7
f.age55-64,1.3519639775218801,1.2138941161380579,1.5057380806258918,4.095047463259132e-8,base_no_aids,aou_v7
f.age65+,1.448853495414057,1.2975235071835705,1.6178330793636595,4.469257498163545e-11,base_no_aids,aou_v7
f.vaccVaccinated,0.4453699102578604,0.39330522585376015,0.5043267770788463,3.0299213561863044e-37,base_no_aids,aou_v7
f.raceBlack,2.2434356267435565,2.0476877634485486,2.4578959259228466,2.0925838844054453e-67,base_no_aids,aou_v7
f.raceAsian,1.3045303142804388,0.978065838874383,1.7399639914171352,0.0704392596154827,base_no_aids,aou_v7
f.raceOther,1.4043282486143471,1.1650222903407075,1.6927897828285272,3.673877201814029e-4,base_no_aids,aou_v7
f.ethnicityHispanic,0.9569143630977517,0.7952559866653852,1.1514343980513317,0.6408756484884727,base_no_aids,aou_v7
f.ethnicityOther,1.033307963346341,0.7879364540951993,1.355090682206156,0.8127469460081549,base_no_aids,aou_v7
f.wavedelta,1.2545475892328852,1.1289252528471865,1.3941486822804636,2.523201125971223e-5,base_no_aids,aou_v7
f.waveomicron,0.9903044164396789,0.9105632881506633,1.0770287469108508,0.8200565059445576,base_no_aids,aou_v7
Myocardial_Infarction,1.001794947338202,0.895865267879632,1.1202500560019402,0.9749096988801494,base_no_aids,aou_v7
Congestive_Heart_Failure,1.2687582908635038,1.1491850351071633,1.400773201405958,2.4365621196560084e-6,base_no_aids,aou_v7
Peripheral_Vascular_Disease,0.9611195326836852,0.8706099012286082,1.061038652101825,0.4319411241530025,base_no_aids,aou_v7
Cerebrovascular_Disease,1.2463148099598365,1.1304083007860504,1.3741058026954567,9.810023134500023e-6,base_no_aids,aou_v7
Dementia,1.285646519163059,1.1202371026803255,1.4754795822074849,3.4907188960260854e-4,base_no_aids,aou_v7
Chronic_Pulmonary_Disease,0.8895343674870428,0.8230099737446765,0.9614359681940507,0.0031607108643258905,base_no_aids,aou_v7
Rheumatic_Disease,0.9102538156116357,0.8114488912310902,1.0210895815982792,0.10871520231949758,base_no_aids,aou_v7
Peptic_Ulcer_Disease,1.0044075900840732,0.8847518465740445,1.1402458338176145,0.9458209818445624,base_no_aids,aou_v7
Liver_Disease_Mild,0.8175928472864658,0.7484772575132075,0.89309068141218,7.855459212029959e-6,base_no_aids,aou_v7
Liver_Disease_Moderate_Severe,1.278381588379039,1.0586596550699703,1.5437062116044287,0.01069744086145286,base_no_aids,aou_v7
Diabetes_without_Chronic_Complications,1.0526751027411647,0.9448064141516809,1.1728591755233588,0.3520181313466295,base_no_aids,aou_v7
Diabetes_with_Chronic_Complications,1.0068398527254547,0.9104835861775484,1.113393480592119,0.8943411291367388,base_no_aids,aou_v7
Hemiplegia_Paraplegia,1.0724880872953568,0.9148642135189965,1.257269308814831,0.3882065415246452,base_no_aids,aou_v7
Renal_Disease_Mild_Moderate,1.0801064621875196,0.9683604792167295,1.2047476065967533,0.1666683758864499,base_no_aids,aou_v7
Renal_Disease_Severe,1.2455097173515701,1.089217700340506,1.4242281001605372,0.0013309818073659106,base_no_aids,aou_v7
HIV,1.0489613833333526,0.7220672152357084,1.5238470332231295,0.8019048276438882,base_no_aids,aou_v7
Metastatic_Solid_Tumor,1.3108047162946037,1.110817642082641,1.546796647052485,0.0013538742137345482,base_no_aids,aou_v7
Malignancy,1.060521408566517,0.9613833132565807,1.1698826498434765,0.24059370256641113,base_no_aids,aou_v7
