variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7412200245626911,0.6854489268936768,0.8015289006323553,6.221454103061638e-14,base_no_hiv_aids,aou_v7
f.sexOther,0.597382084501517,0.41178462193727877,0.8666310878839321,0.006646131259145553,base_no_hiv_aids,aou_v7
f.age45-54,1.0755312337096117,0.9574495110290692,1.2081759104369092,0.2197566240364922,base_no_hiv_aids,aou_v7
f.age55-64,1.4439438598037124,1.2969336132879186,1.6076180375795228,2.000128298839732e-11,base_no_hiv_aids,aou_v7
f.age65+,1.6121260086027485,1.445431931741159,1.7980440382846312,9.844372207930676e-18,base_no_hiv_aids,aou_v7
f.vaccVaccinated,0.45040208655397435,0.39768209139875554,0.5101110760573933,3.590486090377661e-36,base_no_hiv_aids,aou_v7
f.raceBlack,2.282190485025617,2.083334604034024,2.500027311914414,2.066472909306887e-70,base_no_hiv_aids,aou_v7
f.raceAsian,1.3331787263945438,0.997865662090044,1.7811671290384525,0.05170946901806923,base_no_hiv_aids,aou_v7
f.raceOther,1.4099878604704599,1.168502013358162,1.7013798384142749,3.3744803937447445e-4,base_no_hiv_aids,aou_v7
f.ethnicityHispanic,0.967231531495963,0.8029182585841,1.1651707076256943,0.7257852607119436,base_no_hiv_aids,aou_v7
f.ethnicityOther,1.0367594079908828,0.7897536580555387,1.361019425606784,0.7948611462688653,base_no_hiv_aids,aou_v7
f.wavedelta,1.2425287050472449,1.1181480846162875,1.3807451840300675,5.455698267944813e-5,base_no_hiv_aids,aou_v7
f.waveomicron,1.0381839616487314,0.9544630744803185,1.1292484403459027,0.3823660628305693,base_no_hiv_aids,aou_v7
Myocardial_Infarction,0.9337206419822354,0.8281682546496836,1.052725979737662,0.2625128294060206,base_no_hiv_aids,aou_v7
Congestive_Heart_Failure,1.1974343451509177,1.0810700015139576,1.3263239280888464,5.512761291313162e-4,base_no_hiv_aids,aou_v7
Peripheral_Vascular_Disease,0.9216771160751338,0.831165136101058,1.0220456433982208,0.12197924401012025,base_no_hiv_aids,aou_v7
Cerebrovascular_Disease,1.199080281229386,1.0821183594032981,1.3286841576423964,5.260259971181623e-4,base_no_hiv_aids,aou_v7
Dementia,1.103251962337175,0.9390549232625612,1.2961594282174977,0.23202065840267672,base_no_hiv_aids,aou_v7
Chronic_Pulmonary_Disease,0.8492927423839529,0.7848976651555944,0.9189709618043884,4.897886467286327e-5,base_no_hiv_aids,aou_v7
Rheumatic_Disease,0.9148638989882594,0.8123419771408444,1.0303246381749942,0.14227980985653726,base_no_hiv_aids,aou_v7
Peptic_Ulcer_Disease,0.9471101078473709,0.8268856557765609,1.0848145086568637,0.4326983545544529,base_no_hiv_aids,aou_v7
Liver_Disease_Mild,0.7525532967218189,0.686186259831794,0.8253392665508998,1.5866438637546924e-9,base_no_hiv_aids,aou_v7
Liver_Disease_Moderate_Severe,1.3647891705437873,1.1155421185569963,1.6697258212383943,0.0025051469373678953,base_no_hiv_aids,aou_v7
Diabetes_without_Chronic_Complications,1.0193232427329382,0.9135575306203614,1.1373338168095823,0.7320285972990409,base_no_hiv_aids,aou_v7
Diabetes_with_Chronic_Complications,0.9627722679319026,0.8678652317766257,1.0680580416860344,0.4736795877599525,base_no_hiv_aids,aou_v7
Hemiplegia_Paraplegia,1.0166325702117862,0.856743363132069,1.2063610029461058,0.8501321605787189,base_no_hiv_aids,aou_v7
Renal_Disease_Mild_Moderate,1.0522318204116123,0.9380437714914278,1.180319978167302,0.38500668676268923,base_no_hiv_aids,aou_v7
Renal_Disease_Severe,1.2810977799768695,1.1146762779943695,1.472366062023573,4.845696434499722e-4,base_no_hiv_aids,aou_v7
Metastatic_Solid_Tumor,1.2209427860067346,1.0230410959739977,1.4571274727557726,0.026934048086603646,base_no_hiv_aids,aou_v7
Malignancy,1.0703287809639055,0.9676485419523817,1.1839047440181598,0.18654320517623652,base_no_hiv_aids,aou_v7
