variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.734063428218214,0.6785173879985978,0.7941566806959861,1.350386093443246e-14,disability_cognition,aou_v7
f.sexOther,0.5911678178468012,0.4072980497486652,0.8580433642473979,0.0056842884663931776,disability_cognition,aou_v7
f.age45-54,1.0777051844126586,0.9592235024533987,1.2108215254727337,0.20789095322802406,disability_cognition,aou_v7
f.age55-64,1.440863931055302,1.2938624984792901,1.6045668455931126,2.88261944615524e-11,disability_cognition,aou_v7
f.age65+,1.5957527418720014,1.430324034605143,1.7803146361131943,5.78579939316046e-17,disability_cognition,aou_v7
f.vaccVaccinated,0.45011672544092335,0.39738449493026257,0.509846431117588,3.6640299911361765e-36,disability_cognition,aou_v7
f.raceBlack,2.297644191815419,2.09533338345027,2.5194887237897263,5.0301253719054614e-70,disability_cognition,aou_v7
f.raceAsian,1.3333975470678456,0.9979340505923512,1.7816297755059034,0.05165319476019667,disability_cognition,aou_v7
f.raceOther,1.416720089807782,1.1732644160624826,1.7106935021526144,2.934701209330622e-4,disability_cognition,aou_v7
f.ethnicityHispanic,0.9659922985223841,0.8013780601389603,1.1644205989901328,0.7166125046162113,disability_cognition,aou_v7
f.ethnicityOther,1.0391752354469437,0.7912098099081748,1.3648531103166415,0.7823377658829264,disability_cognition,aou_v7
f.wavedelta,1.245321907024707,1.1205758697606503,1.383955066288285,4.621959801013939e-5,disability_cognition,aou_v7
f.waveomicron,1.038786950751804,0.9548809525453236,1.130065822525675,0.37584645954154894,disability_cognition,aou_v7
Myocardial_Infarction,0.9307139588838862,0.8254355607242417,1.0494198632553249,0.24104109425570805,disability_cognition,aou_v7
Congestive_Heart_Failure,1.1963292543040682,1.080008515367618,1.3251781484487357,5.929208277686741e-4,disability_cognition,aou_v7
Peripheral_Vascular_Disease,0.9193893233486627,0.828980775503897,1.0196578170027035,0.11152116548801673,disability_cognition,aou_v7
Cerebrovascular_Disease,1.2088498111303998,1.0907322369435442,1.33975857352939,2.9970246308380725e-4,disability_cognition,aou_v7
Dementia,1.1309713508618258,0.9621290955941084,1.329443421187039,0.13570098894955748,disability_cognition,aou_v7
Chronic_Pulmonary_Disease,0.8543112064734558,0.7894670627010877,0.9244814280269352,9.24135041784983e-5,disability_cognition,aou_v7
Rheumatic_Disease,0.9065102865277808,0.8045692762860769,1.021367486680525,0.10682400450787008,disability_cognition,aou_v7
Peptic_Ulcer_Disease,0.9461160487291053,0.826005345776729,1.0836922330339636,0.42391013912355013,disability_cognition,aou_v7
Liver_Disease_Mild,0.7572270461436296,0.6902684289027572,0.8306808994913257,3.9257814870828275e-9,disability_cognition,aou_v7
Liver_Disease_Moderate_Severe,1.369273612163492,1.1190678402840404,1.6754214154625067,0.0022678310461643537,disability_cognition,aou_v7
Diabetes_without_Chronic_Complications,1.0180269353404792,0.9122825253338055,1.136028381886977,0.749500053924168,disability_cognition,aou_v7
Diabetes_with_Chronic_Complications,0.955924738997178,0.8613296751266056,1.0609086543924149,0.3965129581456177,disability_cognition,aou_v7
Hemiplegia_Paraplegia,1.0265615888068904,0.8649941776101588,1.2183072706053213,0.7641456486112957,disability_cognition,aou_v7
Renal_Disease_Mild_Moderate,1.0561650650792835,0.9413379344631677,1.1849991420244557,0.35209021003814817,disability_cognition,aou_v7
Renal_Disease_Severe,1.2900605838240446,1.122231973744711,1.4829877858345757,3.412668697633171e-4,disability_cognition,aou_v7
HIV,0.9486629396892596,0.6644301291735472,1.3544860981233446,0.7717744466982432,disability_cognition,aou_v7
Metastatic_Solid_Tumor,1.2174108394425762,1.0199184212926429,1.453144801634116,0.029376783867034018,disability_cognition,aou_v7
Malignancy,1.070172775089666,0.9673870997132412,1.183879513053879,0.18803406218159557,disability_cognition,aou_v7
AIDS,0.7593163880469355,0.5657146712977489,1.019173456884215,0.06672404141449914,disability_cognition,aou_v7
f.disability_cognitionYes,0.7597513114282373,0.6329829004135411,0.9119078174778734,0.0031765103547265363,disability_cognition,aou_v7
f.disability_cognitionMissing,0.97931930419971,0.9026728896296115,1.0624738048483235,0.6152582503279763,disability_cognition,aou_v7
