variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7338575747457569,0.6782779897592802,0.7939914727335522,1.3514562523529617e-14,disability_hearing,aou_v7
f.sexOther,0.5933265256893703,0.40877209593338404,0.8612044941149527,0.006031877122620001,disability_hearing,aou_v7
f.age45-54,1.0779653115417254,0.9594952565128472,1.2110630094310324,0.20626502214717193,disability_hearing,aou_v7
f.age55-64,1.4504786590325325,1.3025922534075232,1.61515496104413,1.2166503221030074e-11,disability_hearing,aou_v7
f.age65+,1.6205910020439196,1.4524023573109712,1.8082559441504678,5.8182508569194136e-18,disability_hearing,aou_v7
f.vaccVaccinated,0.4519165528587835,0.3989426885974293,0.5119245861248293,8.907639258150507e-36,disability_hearing,aou_v7
f.raceBlack,2.2906001393041637,2.089016896095387,2.511635500884277,1.343893930272149e-69,disability_hearing,aou_v7
f.raceAsian,1.3319877614606108,0.9968995613745132,1.7797092760624906,0.05250174545389571,disability_hearing,aou_v7
f.raceOther,1.4087394300287577,1.1670247252366943,1.7005181970889658,3.59348553419941e-4,disability_hearing,aou_v7
f.ethnicityHispanic,0.9708056215016734,0.805596500281431,1.1698952942447063,0.7555646235327302,disability_hearing,aou_v7
f.ethnicityOther,1.0412124625541699,0.7929636036193839,1.3671792592116105,0.7713365719920898,disability_hearing,aou_v7
f.wavedelta,1.2411812255061447,1.1167769372388763,1.37944363209877,6.081268892273554e-5,disability_hearing,aou_v7
f.waveomicron,1.0391071610441638,0.9551833948580589,1.1304045882138818,0.37194414469303794,disability_hearing,aou_v7
Myocardial_Infarction,0.9324383888334881,0.826907850402449,1.0514368058632426,0.25365859368480964,disability_hearing,aou_v7
Congestive_Heart_Failure,1.198373237787703,1.0817913706072722,1.3275188322491585,5.290723395975316e-4,disability_hearing,aou_v7
Peripheral_Vascular_Disease,0.9231751552041532,0.8324907017900589,1.02373800134183,0.1297019101282005,disability_hearing,aou_v7
Cerebrovascular_Disease,1.2027971937979272,1.085354691945499,1.3329477452342515,4.274740398377737e-4,disability_hearing,aou_v7
Dementia,1.1190039530122842,0.9520178267755811,1.3152798315743006,0.17267729279640692,disability_hearing,aou_v7
Chronic_Pulmonary_Disease,0.852458698926465,0.7877686510942966,0.9224609691766174,7.356452245141479e-5,disability_hearing,aou_v7
Rheumatic_Disease,0.906519367239377,0.8045899234697105,1.021361738705664,0.10681380653802433,disability_hearing,aou_v7
Peptic_Ulcer_Disease,0.9467550315327636,0.8265375321785051,1.0844578193202037,0.42968645054275595,disability_hearing,aou_v7
Liver_Disease_Mild,0.7561923576175096,0.6893164954809806,0.8295563583171284,3.310139837258263e-9,disability_hearing,aou_v7
Liver_Disease_Moderate_Severe,1.3715081280464265,1.1208050678043926,1.6782887580819705,0.0021597013389432814,disability_hearing,aou_v7
Diabetes_without_Chronic_Complications,1.016518252198774,0.9109456124415729,1.134326070558384,0.7696458349585827,disability_hearing,aou_v7
Diabetes_with_Chronic_Complications,0.9589897757199077,0.864132763940773,1.064259368828135,0.43068890614048894,disability_hearing,aou_v7
Hemiplegia_Paraplegia,1.018309474848768,0.8580880795741579,1.2084472576304537,0.8354388949512896,disability_hearing,aou_v7
Renal_Disease_Mild_Moderate,1.0516487588218932,0.9373482314940935,1.1798871270805804,0.39097475206048843,disability_hearing,aou_v7
Renal_Disease_Severe,1.286443131026449,1.1190325588856014,1.4788988186485086,3.9847500101307544e-4,disability_hearing,aou_v7
HIV,0.945772295451945,0.662236756376477,1.3507030925597434,0.7591242856760494,disability_hearing,aou_v7
Metastatic_Solid_Tumor,1.2253323926088089,1.026694053045714,1.4624020348830986,0.02432630885486566,disability_hearing,aou_v7
Malignancy,1.0764581797795023,0.9730378338127291,1.1908706656078643,0.15282169304160897,disability_hearing,aou_v7
AIDS,0.7587847998239869,0.5654793641281912,1.0181704390425952,0.06577274979624811,disability_hearing,aou_v7
f.disability_hearingYes,0.8357315054184525,0.6746603991243871,1.0352573680854509,0.10042649630532044,disability_hearing,aou_v7
f.disability_hearingMissing,0.9882914088914451,0.9125347625743309,1.070337206807591,0.7722351490420756,disability_hearing,aou_v7
