variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7574761735847572,0.7001944904070732,0.8194439707959308,4.4086615021854956e-12,disability_independent,aou_v7
f.sexOther,0.6301054975328837,0.4339380708032942,0.91495299614110015,0.015221367969536555,disability_independent,aou_v7
f.age45-54,1.0266237233708937,0.9137334171340246,1.1534614468777002,0.658423846077533,disability_independent,aou_v7
f.age55-64,1.3543173479245831,1.2158051236526255,1.5086097625408008,3.591425884773274e-8,disability_independent,aou_v7
f.age65+,1.443410720924973,1.292413762845709,1.6120491511122004,7.514995797115146e-11,disability_independent,aou_v7
f.vaccVaccinated,0.4452347699326408,0.39314897909014507,0.5042210736900287,3.2239953976116604e-37,disability_independent,aou_v7
f.raceBlack,2.2529936544938747,2.054896020165624,2.4701884462166324,4.856430702043631e-67,disability_independent,aou_v7
f.raceAsian,1.301028954812138,0.9754313783556263,1.7353105290841302,0.07333714603164983,disability_independent,aou_v7
f.raceOther,1.4023531563985228,1.1629805064176453,1.6909951322560373,3.9841940397354885e-4,disability_independent,aou_v7
f.ethnicityHispanic,0.9602984657975809,0.7978005122831524,1.1558943986813255,0.6684279971292663,disability_independent,aou_v7
f.ethnicityOther,1.0369470016041678,0.7904345682011098,1.360339144305106,0.7933507955610807,disability_independent,aou_v7
f.wavedelta,1.2574608806388912,1.13144176818536,1.3975159047496755,2.1181231853235906e-5,disability_independent,aou_v7
f.waveomicron,0.9929423650979249,0.9128769356005775,1.080030069724151,0.8688484408842131,disability_independent,aou_v7
Myocardial_Infarction,1.00002662791753,0.894241006582379,1.1183263227506435,0.9996275567103321,disability_independent,aou_v7
Congestive_Heart_Failure,1.266044678708066,1.146573677851926,1.39796435191844,3.0912138535475745e-6,disability_independent,aou_v7
Peripheral_Vascular_Disease,0.9629692286577037,0.8722496393089603,1.0631242405285188,0.4547843002419746,disability_independent,aou_v7
Cerebrovascular_Disease,1.2482403779202254,1.1320793353500687,1.3763205390447484,8.61586473006431e-6,disability_independent,aou_v7
Dementia,1.2942789642046326,1.127444936865105,1.4858003104261963,2.486015229522544e-4,disability_independent,aou_v7
Chronic_Pulmonary_Disease,0.8940300358186984,0.8270883019113974,0.9663898075922829,0.004787679541072732,disability_independent,aou_v7
Rheumatic_Disease,0.9028962577295135,0.8045605422532556,1.0132508486419767,0.0825198849977296,disability_independent,aou_v7
Peptic_Ulcer_Disease,1.0000316841787678,0.8808522437875558,1.1353361206883843,0.9996095367965006,disability_independent,aou_v7
Liver_Disease_Mild,0.8224251918350687,0.7528089734344978,0.8984791893209306,1.4755278076411912e-5,disability_independent,aou_v7
Liver_Disease_Moderate_Severe,1.2917743208946815,1.0694586342233148,1.5603042910909604,0.007886330667632254,disability_independent,aou_v7
Diabetes_without_Chronic_Complications,1.0487233575055075,0.9411573631615165,1.1685831972701453,0.388891658582083,disability_independent,aou_v7
Diabetes_with_Chronic_Complications,1.003221695879744,0.9068715558756761,1.1098085109880824,0.9502144403194581,disability_independent,aou_v7
Hemiplegia_Paraplegia,1.0775167221120485,0.9188633779409591,1.263563565927312,0.3582391088616636,disability_independent,aou_v7
Renal_Disease_Mild_Moderate,1.0826953475130023,0.9705680761716495,1.2077763984882874,0.15432220575075817,disability_independent,aou_v7
Renal_Disease_Severe,1.2517769512735475,1.0944622490839406,1.4317035942091405,0.0010480186661109784,disability_independent,aou_v7
HIV,1.0372715075839636,0.7138029649097396,1.5073237760809248,0.847815116666789,disability_independent,aou_v7
Metastatic_Solid_Tumor,1.3134813932620573,1.1130121542296576,1.550057979052089,0.0012502201115750632,disability_independent,aou_v7
Malignancy,1.0634371782469816,0.9639275060458236,1.173219588594395,0.21980299886654073,disability_independent,aou_v7
AIDS,0.7370304032501216,0.5558395503210172,0.9772852885357141,0.03403883288918741,disability_independent,aou_v7
f.disability_independentYes,0.9665529090976118,0.8018512240963303,1.165084616710423,0.7211499813697875,disability_independent,aou_v7
f.disability_independentMissing,1.0299874602604406,0.949554389294807,1.1172337048345575,0.47631769656120804,disability_independent,aou_v7
