variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7362333057858289,0.6805318989707951,0.7964938621805755,2.371268651833599e-14,disability_lumped,aou_v7
f.sexOther,0.5953548763717508,0.4102553342997463,0.8639678736283085,0.00634067988575958,disability_lumped,aou_v7
f.age45-54,1.0790097842935356,0.9603929188200265,1.2122768627153528,0.20060136008412174,disability_lumped,aou_v7
f.age55-64,1.4499251479093878,1.3020459765424919,1.614599616614577,1.2977814513425151e-11,disability_lumped,aou_v7
f.age65+,1.6112919331461677,1.444448065120356,1.7974074364560735,1.1925514784047339e-17,disability_lumped,aou_v7
f.vaccVaccinated,0.4509784943800196,0.39814170747139294,0.5108271717749706,5.4179500849853164e-36,disability_lumped,aou_v7
f.raceBlack,2.299584170983937,2.0970851434576026,2.521636937793123,3.762614971936107e-70,disability_lumped,aou_v7
f.raceAsian,1.3293790511683734,0.9949503075868882,1.7762180163264008,0.0541346043026538,disability_lumped,aou_v7
f.raceOther,1.411575711753756,1.1693557459678232,1.7039690418282265,3.3206663723067567e-4,disability_lumped,aou_v7
f.ethnicityHispanic,0.9705663052726544,0.8054098077190174,1.1695896224537232,0.7535774494336772,disability_lumped,aou_v7
f.ethnicityOther,1.039974080154705,0.7919412665410519,1.365689771562827,0.7779746196311419,disability_lumped,aou_v7
f.wavedelta,1.2434311301731722,1.1188693971189085,1.3818600986540501,5.2194971753849204e-5,disability_lumped,aou_v7
f.waveomicron,1.0390632060941287,0.9551668852579246,1.1303284932947297,0.37232963774695144,disability_lumped,aou_v7
Myocardial_Infarction,0.9310959288066375,0.8257573178572262,1.0498721717537225,0.2438211242804576,disability_lumped,aou_v7
Congestive_Heart_Failure,1.1968737928004216,1.0803989693276734,1.3259054447116956,5.808473337524282e-4,disability_lumped,aou_v7
Peripheral_Vascular_Disease,0.92321168341149,0.8325039719432376,1.0238026977793095,0.12997958918830846,disability_lumped,aou_v7
Cerebrovascular_Disease,1.2029022630880437,1.085444058578014,1.333070869113186,4.250704399678492e-4,disability_lumped,aou_v7
Dementia,1.1151650947624785,0.948654442698895,1.3109021922024842,0.18645647780545463,disability_lumped,aou_v7
Chronic_Pulmonary_Disease,0.8530239432692779,0.788261278900001,0.9231074356539313,7.943269717143195e-5,disability_lumped,aou_v7
Rheumatic_Disease,0.9076369680009568,0.8055987436427539,1.0225994915991201,0.11122407405795082,disability_lumped,aou_v7
Peptic_Ulcer_Disease,0.9433973358632423,0.8236126840454702,1.0806032380928312,0.40031598563731724,disability_lumped,aou_v7
Liver_Disease_Mild,0.7570417143556316,0.6901135233456617,0.8304606965185571,3.77487971543024e-9,disability_lumped,aou_v7
Liver_Disease_Moderate_Severe,1.3729400556683693,1.121996348203221,1.6800093863739134,0.0020856089903844707,disability_lumped,aou_v7
Diabetes_without_Chronic_Complications,1.0164509212910409,0.9108888818161415,1.1342464443450597,0.7705429574097293,disability_lumped,aou_v7
Diabetes_with_Chronic_Complications,0.9594449914709939,0.8644108749670415,1.0649272450371174,0.43660345561799513,disability_lumped,aou_v7
Hemiplegia_Paraplegia,1.022522743068552,0.861610734681539,1.2134862276047245,0.7987567976637997,disability_lumped,aou_v7
Renal_Disease_Mild_Moderate,1.0539804559211712,0.9394729286331854,1.182444717252239,0.3702725709869364,disability_lumped,aou_v7
Renal_Disease_Severe,1.2885532607756889,1.1209075039846785,1.4812725402883518,3.6381166606444526e-4,disability_lumped,aou_v7
HIV,0.9525538601693772,0.6671635543259786,1.3600246156135838,0.7890558878274184,disability_lumped,aou_v7
Metastatic_Solid_Tumor,1.2222089000333667,1.0240509444225658,1.4587112130081397,0.026193354130021357,disability_lumped,aou_v7
Malignancy,1.072784743998893,0.9697543502085945,1.1867614790376741,0.17262419079307745,disability_lumped,aou_v7
AIDS,0.7584651968052774,0.5652413368165708,1.0177413032188611,0.065361258865886,disability_lumped,aou_v7
f.disability_anyYes,0.943659475852315,0.830478262708295,1.0722655201857478,0.3736735943332478,disability_lumped,aou_v7
f.disability_anyMissing,0.9823327624895783,0.8947594284695323,1.078477214720141,0.7082848759222535,disability_lumped,aou_v7
