variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7359301032356599,0.6802612837797758,0.7961545508501723,2.1664421079370932e-14,disability_mobility,aou_v7
f.sexOther,0.5947802469689906,0.40981672655225393,0.8632237760539199,0.006258108628783839,disability_mobility,aou_v7
f.age45-54,1.0759418650059098,0.9575908283863895,1.2089202011501319,0.21827414821839428,disability_mobility,aou_v7
f.age55-64,1.4455259014550952,1.2979779940096585,1.6098463467185848,1.9747253678394557e-11,disability_mobility,aou_v7
f.age65+,1.6068332268042333,1.440351025692286,1.7925581838782265,1.9194691894662216e-17,disability_mobility,aou_v7
f.vaccVaccinated,0.45035403228226417,0.3975879707871509,0.51012296471483,4.1477545175933124e-36,disability_mobility,aou_v7
f.raceBlack,2.2910417195529633,2.0892944253313903,2.512270217683492,1.5308375136856562e-69,disability_mobility,aou_v7
f.raceAsian,1.332927445920825,0.9976014703406278,1.7809672789298983,0.05192471325260433,disability_mobility,aou_v7
f.raceOther,1.4080516888800723,1.1665009498501706,1.6996210408681423,3.6534384321659894e-4,disability_mobility,aou_v7
f.ethnicityHispanic,0.970778535748216,0.8056235416298865,1.1697907481238994,0.755263732010185,disability_mobility,aou_v7
f.ethnicityOther,1.0417928926739404,0.7933422613646937,1.368050693982905,0.76833680287897,disability_mobility,aou_v7
f.wavedelta,1.2446207651382015,1.1199305517748825,1.3831936690701006,4.844372845640409e-5,disability_mobility,aou_v7
f.waveomicron,1.0403810755149565,0.9563556216257086,1.1317890100857027,0.3568587363452306,disability_mobility,aou_v7
Myocardial_Infarction,0.9319079874479177,0.8265024555674598,1.0507561002622388,0.2495073425044223,disability_mobility,aou_v7
Congestive_Heart_Failure,1.1934562039830736,1.077344754324117,1.322081631816419,7.076275122766245e-4,disability_mobility,aou_v7
Peripheral_Vascular_Disease,0.922587271482192,0.8319160062179043,1.0231408785732738,0.126869758000147,disability_mobility,aou_v7
Cerebrovascular_Disease,1.201092732897552,1.0838687661477449,1.3309948566436158,4.703484941859787e-4,disability_mobility,aou_v7
Dementia,1.109579574600442,0.9441553811602885,1.3039875183018035,0.2068181381641067,disability_mobility,aou_v7
Chronic_Pulmonary_Disease,0.8515455542408475,0.7868930673015379,0.9215100006332652,6.63435309635335e-5,disability_mobility,aou_v7
Rheumatic_Disease,0.9074439591292064,0.8054398911101169,1.0223662225434882,0.11039559173774853,disability_mobility,aou_v7
Peptic_Ulcer_Disease,0.9437255670657945,0.8239013763303145,1.0809764026618074,0.40312575835214715,disability_mobility,aou_v7
Liver_Disease_Mild,0.7577213327282909,0.6907454662601327,0.8311912942115749,4.205341471747331e-9,disability_mobility,aou_v7
Liver_Disease_Moderate_Severe,1.3741675619772586,1.1230381439967951,1.6814535628060663,0.0020221002109632896,disability_mobility,aou_v7
Diabetes_without_Chronic_Complications,1.0149175620895163,0.9095000900628954,1.1325536622723091,0.7912863993623359,disability_mobility,aou_v7
Diabetes_with_Chronic_Complications,0.9554020501114091,0.8606425195432219,1.0605949120914222,0.3919482291856388,disability_mobility,aou_v7
Hemiplegia_Paraplegia,1.0185532574206768,0.8581136761045833,1.2089898659019058,0.8335003223684134,disability_mobility,aou_v7
Renal_Disease_Mild_Moderate,1.053958874846709,0.9394821347959761,1.1823847082620424,0.370332996151206,disability_mobility,aou_v7
Renal_Disease_Severe,1.2886160220172402,1.120968603579785,1.4813360935325683,3.626574316162581e-4,disability_mobility,aou_v7
HIV,0.9552123277732124,0.6690606685301441,1.3637486614396763,0.8008596927597141,disability_mobility,aou_v7
Metastatic_Solid_Tumor,1.2253529413160247,1.026720690491549,1.4624131418574853,0.0243071857065018,disability_mobility,aou_v7
Malignancy,1.07363816266927,0.970517091461926,1.1877162334189217,0.16785356230069912,disability_mobility,aou_v7
AIDS,0.7614481489550105,0.5675367302332113,1.0216136730194716,0.069155353786153,disability_mobility,aou_v7
f.disability_mobilityYes,1.0258585749992022,0.8884385558448078,1.1845341571187105,0.7278958174341126,disability_mobility,aou_v7
f.disability_mobilityMissing,1.0257995449044581,0.9402594391359854,1.1191216620948055,0.5663828831811175,disability_mobility,aou_v7
