variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7576687428833228,0.7003816539340159,0.8196415778710245,4.5730530855156975e-12,disability_selfcare,aou_v7
f.sexOther,0.6320875979378282,0.4353249730393589,0.9177850024944251,0.015913669305861907,disability_selfcare,aou_v7
f.age45-54,1.025553585892137,0.9127587213675655,1.152287162986942,0.6712346892491264,disability_selfcare,aou_v7
f.age55-64,1.354631877120022,1.216108813195309,1.5089336600465917,3.4885220440589893e-8,disability_selfcare,aou_v7
f.age65+,1.4443789393527071,1.293369815230076,1.6130193359078306,6.756473991081607e-11,disability_selfcare,aou_v7
f.vaccVaccinated,0.445547991484353,0.39342128376010305,0.5045812743491239,3.7693327918467154e-37,disability_selfcare,aou_v7
f.raceBlack,2.255935576755535,2.057591606760262,2.4733991476979695,2.9387343897515424e-67,disability_selfcare,aou_v7
f.raceAsian,1.3015016899734577,0.9757490581217393,1.7360064402874638,0.07297860244721756,disability_selfcare,aou_v7
f.raceOther,1.4011163130174058,1.1620550727750039,1.6893579044541442,4.100684868408932e-4,disability_selfcare,aou_v7
f.ethnicityHispanic,0.9607923703643585,0.7982856405430656,1.1563805385781112,0.6722339640064471,disability_selfcare,aou_v7
f.ethnicityOther,1.038429974682133,0.7916193978789305,1.362190991286516,0.7853531935985647,disability_selfcare,aou_v7
f.wavedelta,1.2562479065445888,1.1303613009888263,1.396154310411289,2.2902325347745085e-5,disability_selfcare,aou_v7
f.waveomicron,0.9925969804209996,0.912556674229989,1.0796576183854385,0.8624737949322324,disability_selfcare,aou_v7
Myocardial_Infarction,0.9991327740609796,0.8934180853963605,1.117356270843692,0.9878680679550561,disability_selfcare,aou_v7
Congestive_Heart_Failure,1.2641150315191658,1.144903827008785,1.3957389041904564,3.5234499184927255e-6,disability_selfcare,aou_v7
Peripheral_Vascular_Disease,0.9627638293434866,0.8720738033428289,1.0628850305319244,0.4521849779229825,disability_selfcare,aou_v7
Cerebrovascular_Disease,1.2479255974483043,1.1318162797965245,1.3759461889403808,8.784238084711123e-6,disability_selfcare,aou_v7
Dementia,1.2879773283323823,1.1220076732496596,1.4784975520654042,3.236631691483786e-4,disability_selfcare,aou_v7
Chronic_Pulmonary_Disease,0.8932881568196293,0.8264036503940777,0.9655859224892033,0.004483665062292732,disability_selfcare,aou_v7
Rheumatic_Disease,0.9000298769674783,0.801939201356828,1.0101186948630732,0.07361537461375262,disability_selfcare,aou_v7
Peptic_Ulcer_Disease,1.0008822047359787,0.8816300721786633,1.1362647661071894,0.9891302309783693,disability_selfcare,aou_v7
Liver_Disease_Mild,0.8224980827564311,0.7528893080802247,0.8985425730948481,1.4827746792991716e-5,disability_selfcare,aou_v7
Liver_Disease_Moderate_Severe,1.291269187010446,1.0690834687604722,1.5596313684055225,0.007968429491438795,disability_selfcare,aou_v7
Diabetes_without_Chronic_Complications,1.0479407647006698,0.9404694586065787,1.1676932581612096,0.39631056279666094,disability_selfcare,aou_v7
Diabetes_with_Chronic_Complications,0.9992704556844828,0.9033083327834599,1.1054270257055663,0.9886959031469366,disability_selfcare,aou_v7
Hemiplegia_Paraplegia,1.0692017087760963,0.9115365623594996,1.2541376191105125,0.4110425644369187,disability_selfcare,aou_v7
Renal_Disease_Mild_Moderate,1.081847664944078,0.9698411447029108,1.206789768136181,0.1582958775676817,disability_selfcare,aou_v7
Renal_Disease_Severe,1.2533829108080918,1.0958712505466022,1.4335340217404118,9.802709008446193e-4,disability_selfcare,aou_v7
HIV,1.0378668760991594,0.7142097333959307,1.50819514511809,0.8454602828511699,disability_selfcare,aou_v7
Metastatic_Solid_Tumor,1.3168739131740967,1.1158846080125762,1.55406472205674,0.0011233640991427497,disability_selfcare,aou_v7
Malignancy,1.0640482269246825,0.9644995191787257,1.1738716367485922,0.21543837172997926,disability_selfcare,aou_v7
AIDS,0.7368155659541833,0.5556555892316646,0.9770389945740979,0.03389322552050499,disability_selfcare,aou_v7
f.disability_selfcareYes,1.1149848320937399,0.8993113058033401,1.3823813486794576,0.3210140240537403,disability_selfcare,aou_v7
f.disability_selfcareMissing,1.032502079490755,0.9532810441443512,1.1183066638124657,0.43227940231987005,disability_selfcare,aou_v7
