variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7363126295413611,0.6806115346583586,0.7965722894988194,2.4043173203575428e-14,disability_vision,aou_v7
f.sexOther,0.5941467072163569,0.40941217938357194,0.8622369520797996,0.006141594189797093,disability_vision,aou_v7
f.age45-54,1.0779515862013873,0.9594840211868146,1.2110463504715787,0.20633799315601853,disability_vision,aou_v7
f.age55-64,1.4487360600025516,1.3010229592303426,1.6132199333310335,1.4175593002595737e-11,disability_vision,aou_v7
f.age65+,1.61094129861055,1.4441446971880632,1.7970026636680543,1.22724082009298e-17,disability_vision,aou_v7
f.vaccVaccinated,0.45060163503970013,0.3978148330328607,0.5103928175641436,4.5054085445599424e-36,disability_vision,aou_v7
f.raceBlack,2.2996939156040668,2.0970916369758896,2.521869818284516,4.302742478086965e-70,disability_vision,aou_v7
f.raceAsian,1.332145970824187,0.9970744455037117,1.7798198475406712,0.05235791080850259,disability_vision,aou_v7
f.raceOther,1.4095073655429409,1.167760226081403,1.701300463183707,3.494810796321209e-4,disability_vision,aou_v7
f.ethnicityHispanic,0.9735761423987088,0.807901369069627,1.173225521500834,0.778419779616717,disability_vision,aou_v7
f.ethnicityOther,1.0393703050647145,0.791520496087051,1.364829636618163,0.7811412579264707,disability_vision,aou_v7
f.wavedelta,1.2463198581271449,1.1214177816485373,1.385133367939487,4.3717018757011286e-5,disability_vision,aou_v7
f.waveomicron,1.0399568343971504,0.9559777969684815,1.1313131129602996,0.3617622797585388,disability_vision,aou_v7
Myocardial_Infarction,0.9330645139287703,0.8274876478948455,1.052111641023271,0.2581253284905316,disability_vision,aou_v7
Congestive_Heart_Failure,1.1947813722504133,1.0786028507222556,1.3234737202119338,6.501817682862176e-4,disability_vision,aou_v7
Peripheral_Vascular_Disease,0.9229302883346431,0.8322355303357202,1.0235087136713028,0.1285863139073708,disability_vision,aou_v7
Cerebrovascular_Disease,1.2016723540946743,1.0843476370674678,1.3316914218586433,4.5675161409282534e-4,disability_vision,aou_v7
Dementia,1.1145038879999933,0.9482744845367236,1.3098727600731923,0.18833786703962035,disability_vision,aou_v7
Chronic_Pulmonary_Disease,0.8528635673458097,0.788135507163216,0.9229076191782174,7.743689763632647e-5,disability_vision,aou_v7
Rheumatic_Disease,0.9088756836759858,0.8066793773717879,1.0240189988106922,0.11641659902666557,disability_vision,aou_v7
Peptic_Ulcer_Disease,0.9436255665178156,0.8238132483112833,1.0808629402493097,0.4022692922097593,disability_vision,aou_v7
Liver_Disease_Mild,0.7563614656823093,0.6894745834880011,0.8297371367555961,3.3991508455396648e-9,disability_vision,aou_v7
Liver_Disease_Moderate_Severe,1.3743225371477328,1.1231194225073575,1.6817111326376406,0.002018856652770717,disability_vision,aou_v7
Diabetes_without_Chronic_Complications,1.0165666149771664,0.9109922444840883,1.1343759389207229,0.7689884934980864,disability_vision,aou_v7
Diabetes_with_Chronic_Complications,0.9589110528055776,0.8640251534943194,1.0642171740880302,0.4299737634400047,disability_vision,aou_v7
Hemiplegia_Paraplegia,1.0210903619096086,0.8604744462714635,1.2116867987219306,0.8110865425455269,disability_vision,aou_v7
Renal_Disease_Mild_Moderate,1.0531317142151038,0.9387315721881914,1.1814734268501836,0.3775832525767512,disability_vision,aou_v7
Renal_Disease_Severe,1.2895777632129033,1.1217585483272001,1.4825033514147283,3.498402917148544e-4,disability_vision,aou_v7
HIV,0.9527622719290618,0.6673439418582232,1.3602520227931878,0.7899532717153978,disability_vision,aou_v7
Metastatic_Solid_Tumor,1.222397866106536,1.0242280261563166,1.458910032631504,0.026062695986608944,disability_vision,aou_v7
Malignancy,1.0726466931096483,0.9696306563527198,1.1866074166497105,0.17340713926855236,disability_vision,aou_v7
AIDS,0.7588112884509666,0.5655441322402,1.018124914849373,0.06573376194873783,disability_vision,aou_v7
f.disability_visionYes,0.8865469671775765,0.7075443451531276,1.110835710010034,0.29532127948329023,disability_vision,aou_v7
f.disability_visionMissing,1.0038798597058747,0.9272550313078839,1.0868366724326428,0.923845592838608,disability_vision,aou_v7
