variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7342562593310931,0.6786169568511277,0.7944573870781748,1.5527565906210974e-14,education,aou_v7
f.sexOther,0.5847561556803146,0.4029961792627512,0.8484938051560968,0.004727998207356056,education,aou_v7
f.age45-54,1.0636723646829551,0.9466199409059497,1.1951986753072619,0.2993879028474724,education,aou_v7
f.age55-64,1.4183742171082852,1.273147713318203,1.5801665421164897,2.2699272082032375e-10,education,aou_v7
f.age65+,1.5881886632337292,1.4229343865324582,1.7726349534435144,1.5561181296116724e-16,education,aou_v7
f.vaccVaccinated,0.4555176440769782,0.4021303264967167,0.5159927277136975,4.1277729470982967e-35,education,aou_v7
f.raceBlack,2.1928552101057215,1.9963083702909492,2.4087530984939884,2.2937613506467928e-60,education,aou_v7
f.raceAsian,1.3522823352467699,1.0112398667384934,1.8083419912215055,0.041812454796871554,education,aou_v7
f.raceOther,1.360825634557707,1.124851907277184,1.6463024116232017,0.0015198758084113725,education,aou_v7
f.ethnicityHispanic,0.914503166859765,0.7564170940412979,1.105628163065917,0.35600884425416607,education,aou_v7
f.ethnicityOther,1.0278613969450203,0.7810751843773741,1.352621453684956,0.8444765712948514,education,aou_v7
f.wavedelta,1.2407317754001654,1.1162051902997343,1.3791508513540127,6.40853047360956e-5,education,aou_v7
f.waveomicron,1.0512596409952732,0.9661576666469637,1.1438576444990671,0.24578594747778199,education,aou_v7
Myocardial_Infarction,0.929645525468456,0.8243582871059602,1.0483800751947014,0.23420987673624818,education,aou_v7
Congestive_Heart_Failure,1.1859223167313981,1.0704266889200333,1.3138795546479813,0.0011068638091579909,education,aou_v7
Peripheral_Vascular_Disease,0.9231603709620159,0.8322238731731,1.0240334337746961,0.13075508545612433,education,aou_v7
Cerebrovascular_Disease,1.2045113274832289,1.0867878169147924,1.334986936230222,3.9101808600613264e-4,education,aou_v7
Dementia,1.0962665473817497,0.9323594183161685,1.288988258496644,0.26598165898619297,education,aou_v7
Chronic_Pulmonary_Disease,0.8421167373131027,0.7779871436185104,0.9115325427673201,2.1181461685302577e-5,education,aou_v7
Rheumatic_Disease,0.9183305255310078,0.8149215351435621,1.0348615391216653,0.16217576090248667,education,aou_v7
Peptic_Ulcer_Disease,0.9363732727513395,0.8172935866697405,1.0728028706254338,0.343468150188034,education,aou_v7
Liver_Disease_Mild,0.7544277310190965,0.6876405340902577,0.8277016451387896,2.544475602399764e-9,education,aou_v7
Liver_Disease_Moderate_Severe,1.3418336729124947,1.0954586647122024,1.6436198496224095,0.004498883566977413,education,aou_v7
Diabetes_without_Chronic_Complications,1.0091943995313557,0.9041495924613895,1.1264433944750643,0.8703544811982996,education,aou_v7
Diabetes_with_Chronic_Complications,0.9384689032060288,0.8452046400236717,1.0420244288531832,0.2343752362728002,education,aou_v7
Hemiplegia_Paraplegia,1.0174041973580465,0.8572091244833949,1.2075364939979965,0.8435206441304318,education,aou_v7
Renal_Disease_Mild_Moderate,1.049913532054059,0.9357344655892089,1.1780248193552716,0.4069892887663975,education,aou_v7
Renal_Disease_Severe,1.2942104332651734,1.1257082196715225,1.487934987328405,2.902467690588691e-4,education,aou_v7
HIV,0.9490034126329054,0.6643115222933637,1.3557005214658724,0.7736179714942308,education,aou_v7
Metastatic_Solid_Tumor,1.2276387540269635,1.0282603710256217,1.4656763528537486,0.023316471539580334,education,aou_v7
Malignancy,1.0784650412025116,0.9747691832257985,1.1931920552175626,0.1430444411804355,education,aou_v7
AIDS,0.7495961812084726,0.5582537498258551,1.006521559519494,0.055267143481746835,education,aou_v7
f.educationNever_Attended,3.351433839887639,1.655610840937069,6.784268685258595,7.759605858149187e-4,education,aou_v7
f.educationBelow_GED,1.3479155034203083,1.184140558448043,1.5343416720241856,6.264265952410985e-6,education,aou_v7
f.educationGED_or_College,1.1093808085902417,1.0191605219926614,1.2075877665100536,0.016459943723838258,education,aou_v7
f.educationMissing,1.5063904222229283,1.1835821179311554,1.9172409499827907,8.691683136307145e-4,education,aou_v7
