variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7521076150443124,0.6950207435130373,0.8138834270592283,1.5120265209612549e-12,employment,aou_v7
f.sexOther,0.5956468662454371,0.41042748264581524,0.8644528065733491,0.0064005349757071724,employment,aou_v7
f.age45-54,1.0618990386828655,0.9435805598200085,1.1950538368135661,0.3190219571344583,employment,aou_v7
f.age55-64,1.3975277708060856,1.251886563136859,1.5601124955605994,2.507732329913872e-9,employment,aou_v7
f.age65+,1.4822238662351241,1.3095038112905022,1.6777252350811345,4.791496510804904e-10,employment,aou_v7
f.vaccVaccinated,0.45704621186817573,0.40340559342863197,0.5178193936470669,9.936200385297123e-35,employment,aou_v7
f.raceBlack,2.2344456308936276,2.036500847615525,2.4516303458775734,1.0043179348137966e-64,employment,aou_v7
f.raceAsian,1.3439556566809638,1.0050821695319447,1.7970837229814705,0.046130545818711184,employment,aou_v7
f.raceOther,1.4048689021560667,1.1636933144352528,1.6960281611680648,4.037778933051729e-4,employment,aou_v7
f.ethnicityHispanic,0.9517547525964103,0.7894478868986621,1.147431165657338,0.6042136554620645,employment,aou_v7
f.ethnicityOther,1.0108209948328357,0.7691443741015191,1.3284360101943384,0.9384611420269753,employment,aou_v7
f.wavedelta,1.2385590970084204,1.1142107094968443,1.376785040483995,7.388358406473524e-5,employment,aou_v7
f.waveomicron,1.0463690890350787,0.9616876643478436,1.1385071381055774,0.29247787367992173,employment,aou_v7
Myocardial_Infarction,0.9309877070853644,0.8256557931562934,1.0497571965561125,0.2430806715625189,employment,aou_v7
Congestive_Heart_Failure,1.1732989781244465,1.0589999355444735,1.2999344436787812,0.0022414246502148994,employment,aou_v7
Peripheral_Vascular_Disease,0.9220811435576901,0.8315501082890222,1.0224683116860849,0.12390734701236682,employment,aou_v7
Cerebrovascular_Disease,1.1895229085427494,1.0733833206240513,1.3182287471407321,9.295861742849e-4,employment,aou_v7
Dementia,1.092109455463133,0.9293470292362431,1.2833774953713135,0.2845726997380652,employment,aou_v7
Chronic_Pulmonary_Disease,0.8413201344991773,0.7771225917374222,0.9108209904581892,1.9850742334446397e-5,employment,aou_v7
Rheumatic_Disease,0.9013430100590145,0.8000729490725964,1.0154314337510844,0.08760599932347829,employment,aou_v7
Peptic_Ulcer_Disease,0.9461322275561411,0.8259247104457439,1.083835101067787,0.424444576735685,employment,aou_v7
Liver_Disease_Mild,0.7530482679921042,0.6862672266042377,0.8263278092586772,2.145874582324164e-9,employment,aou_v7
Liver_Disease_Moderate_Severe,1.3605116859694548,1.1115698086658028,1.665205399813045,0.002827729657934108,employment,aou_v7
Diabetes_without_Chronic_Complications,1.005890973912805,0.901003192272997,1.1229889750409217,0.9167374402501985,employment,aou_v7
Diabetes_with_Chronic_Complications,0.9432644257437963,0.8497182839822519,1.0471091344579775,0.27302553019665465,employment,aou_v7
Hemiplegia_Paraplegia,0.9829535909274804,0.8279631012777632,1.1669575134763046,0.8443058498552048,employment,aou_v7
Renal_Disease_Mild_Moderate,1.0442848897295276,0.9308812540089637,1.1715038048310624,0.4600180756540301,employment,aou_v7
Renal_Disease_Severe,1.27505154438744,1.1090074065700828,1.4659563418723276,6.413741727140015e-4,employment,aou_v7
HIV,0.9229790339739729,0.6462362684611757,1.3182334986924489,0.6594142101441636,employment,aou_v7
Metastatic_Solid_Tumor,1.236511594267261,1.0355590585257233,1.476459415973893,0.018968343939319798,employment,aou_v7
Malignancy,1.0829007162182482,0.9788097979290898,1.1980611183777197,0.12243903171881296,employment,aou_v7
AIDS,0.73634084777407,0.5488058248985457,0.9879593464607795,0.0412734587086665,employment,aou_v7
f.employmentStudent,1.6081903391148042,1.2382099362758248,2.088721864566,3.6827942752717507e-4,employment,aou_v7
f.employmentUnemployed,1.412316139064186,1.2782633340753076,1.5604272011010034,1.161342863208697e-11,employment,aou_v7
f.employmentOthers,1.3608996938057671,1.2227137637926992,1.5147028122557633,1.6937675453544984e-8,employment,aou_v7
f.employmentMissing,1.3651753233469361,1.0908974871860644,1.7084131968098821,0.006522293058021588,employment,aou_v7
