variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7321732402141918,0.6766498463202095,0.7922526792861515,9.358964202059892e-15,housing,aou_v7
f.sexOther,0.5794698903596108,0.3991576513521583,0.8412349173212553,0.0041171263127722365,housing,aou_v7
f.age45-54,1.1037919796505191,0.9816974699795026,1.241071482405115,0.09870933349366895,housing,aou_v7
f.age55-64,1.4954445122665907,1.341103962651243,1.6675472980090136,4.4583312332513795e-13,housing,aou_v7
f.age65+,1.6987376942379988,1.517225851929097,1.9019645296420167,3.899992240038356e-20,housing,aou_v7
f.vaccVaccinated,0.4510843365167994,0.3982047365999077,0.5109860831596353,6.251652443407035e-36,housing,aou_v7
f.raceBlack,2.144516129928011,1.9501014228794908,2.3583129459649705,8.743457251030488e-56,housing,aou_v7
f.raceAsian,1.3174576790539372,0.9857277011530898,1.7608257676717383,0.06248049853631554,housing,aou_v7
f.raceOther,1.3347602975230177,1.1035322625123394,1.6144385736287554,0.0029297526990662666,housing,aou_v7
f.ethnicityHispanic,0.9450723870604492,0.783016549111613,1.1406678668509496,0.556102631183505,housing,aou_v7
f.ethnicityOther,1.0620085090191114,0.807638199406282,1.3964942149320327,0.6667119412989735,housing,aou_v7
f.wavedelta,1.251890168438519,1.1263648933784856,1.391404333574517,3.0809911819304925e-5,housing,aou_v7
f.waveomicron,1.0467360771743397,0.9620687839413814,1.1388545533819994,0.28849971200116065,housing,aou_v7
Myocardial_Infarction,0.9289358907976506,0.8237886855015251,1.0475039344424537,0.2290688290633595,housing,aou_v7
Congestive_Heart_Failure,1.1949537237992287,1.0785725903661172,1.3238927215246061,6.573082381648895e-4,housing,aou_v7
Peripheral_Vascular_Disease,0.9152919486191603,0.8252395771936212,1.0151710780232017,0.09392428151448633,housing,aou_v7
Cerebrovascular_Disease,1.1974727101327531,1.0804749620945795,1.3271393987074733,5.913442490709714e-4,housing,aou_v7
Dementia,1.1018289246370216,0.9374269844397989,1.2950629748430713,0.23950406072938624,housing,aou_v7
Chronic_Pulmonary_Disease,0.8438747783850589,0.7795837331515194,0.9134678050754351,2.685948381315264e-5,housing,aou_v7
Rheumatic_Disease,0.9060280082629836,0.8041160829694917,1.0208560295493228,0.1050278275933247,housing,aou_v7
Peptic_Ulcer_Disease,0.9385161891513196,0.8193557939353503,1.075006296188606,0.359681922242503,housing,aou_v7
Liver_Disease_Mild,0.755198284583559,0.6884132086721048,0.828462385458962,2.7893134115935736e-9,housing,aou_v7
Liver_Disease_Moderate_Severe,1.3781407802179886,1.1256152204911087,1.6873190549708357,0.0018973333920053574,housing,aou_v7
Diabetes_without_Chronic_Complications,1.0053390822006938,0.9007349878968176,1.1220910520641543,0.9243205939165142,housing,aou_v7
Diabetes_with_Chronic_Complications,0.9440997358939053,0.8505933354623603,1.0478853691352297,0.279696187548682,housing,aou_v7
Hemiplegia_Paraplegia,1.0094457355088786,0.8505808877024724,1.1979821174791003,0.9143054390548219,housing,aou_v7
Renal_Disease_Mild_Moderate,1.048450055443104,0.934365384285419,1.1764643010606894,0.4208355510291759,housing,aou_v7
Renal_Disease_Severe,1.2849026331698243,1.1174697265523048,1.477422374403332,4.328270264867297e-4,housing,aou_v7
HIV,0.9224226060655645,0.6455184935357999,1.3181085789195899,0.6574722364976591,housing,aou_v7
Metastatic_Solid_Tumor,1.223910652558969,1.025044533320233,1.4613582500608744,0.025520824524314492,housing,aou_v7
Malignancy,1.073399829255087,0.9702500934105843,1.187515673814292,0.16941022545867995,housing,aou_v7
AIDS,0.7435754992900074,0.5541284562444719,0.9977912466210755,0.048297932455205576,housing,aou_v7
f.housingRent,1.27625720857261,1.1705520870166797,1.3915078880298821,3.201622748310882e-8,housing,aou_v7
f.housingOthers,0.9876651427499066,0.8610769302204294,1.1328632784918264,0.8592256832244648,housing,aou_v7
f.housingMissing,1.1326088661802034,0.935497529573589,1.3712519843154722,0.20178058422506762,housing,aou_v7
