variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.75943198963091,0.7018779535036497,0.8217054603236851,7.716550149226592e-12,housing_stability,aou_v7
f.sexOther,0.6229155274691551,0.42878886206037947,0.9049296488198815,0.012980411796355,housing_stability,aou_v7
f.age45-54,1.029040529916898,0.9158923276336216,1.1561669207859606,0.6300275986382071,housing_stability,aou_v7
f.age55-64,1.3589672012330405,1.2200168112575367,1.5137429558233508,2.4938901656377058e-8,housing_stability,aou_v7
f.age65+,1.4508615070331994,1.2982429290770359,1.6214215887061756,5.2802465436517985e-11,housing_stability,aou_v7
f.vaccVaccinated,0.44631040366820546,0.3940924692379897,0.5054473048105501,5.356650175487865e-37,housing_stability,aou_v7
f.raceBlack,2.256513591676555,2.0585164492881574,2.473554967793339,1.4167766527103326e-67,housing_stability,aou_v7
f.raceAsian,1.30166027591556,0.9757801351317287,1.7363742229368522,0.07293563008434388,housing_stability,aou_v7
f.raceOther,1.4059714962858392,1.1661175256728413,1.6951600544959375,3.565134705210804e-4,housing_stability,aou_v7
f.ethnicityHispanic,0.9571118442414349,0.7951342533708085,1.1520860515111495,0.6430854582197775,housing_stability,aou_v7
f.ethnicityOther,1.0233919945194576,0.7798300125378648,1.3430249639124527,0.867574527946046,housing_stability,aou_v7
f.wavedelta,1.2576714025229747,1.1316599591044805,1.397714343428557,2.0793774998212783e-5,housing_stability,aou_v7
f.waveomicron,0.9924059403450121,0.9124487201750072,1.0793697537798839,0.8588248974269711,housing_stability,aou_v7
Myocardial_Infarction,0.9987533925972106,0.8930285044624944,1.1169949606757839,0.982566957311659,housing_stability,aou_v7
Congestive_Heart_Failure,1.2676366567148971,1.1480181891768697,1.3997188446983344,2.7370326210022348e-6,housing_stability,aou_v7
Peripheral_Vascular_Disease,0.962182728594489,0.8715296355247343,1.0622652007101618,0.44511709481257267,housing_stability,aou_v7
Cerebrovascular_Disease,1.247910143360745,1.131788788895037,1.375945530811454,8.816589137462717e-6,housing_stability,aou_v7
Dementia,1.2834378800305317,1.1179520898420867,1.4734198422849567,3.9545316650403385e-4,housing_stability,aou_v7
Chronic_Pulmonary_Disease,0.8941032267368002,0.8271077127570438,0.9665253602779319,0.004850357831681693,housing_stability,aou_v7
Rheumatic_Disease,0.9016480636949332,0.8034756579293263,1.011815632174797,0.07835989044596464,housing_stability,aou_v7
Peptic_Ulcer_Disease,1.004110901724396,0.8844312675735709,1.1399853667859046,0.9494820564011498,housing_stability,aou_v7
Liver_Disease_Mild,0.8211857664041773,0.75165273955859,0.8971510744986141,1.2752694511807308e-5,housing_stability,aou_v7
Liver_Disease_Moderate_Severe,1.288429857940223,1.0665648545226163,1.5564468412705061,0.008579645190712804,housing_stability,aou_v7
Diabetes_without_Chronic_Complications,1.0468665711466516,0.9394979630291069,1.1665055816096475,0.4067703574533523,housing_stability,aou_v7
Diabetes_with_Chronic_Complications,1.0000468924716939,0.9041279724399889,1.1061418489722399,0.9992727330839801,housing_stability,aou_v7
Hemiplegia_Paraplegia,1.077607818703225,0.9191536261132903,1.2633781534874715,0.3569964084393218,housing_stability,aou_v7
Renal_Disease_Mild_Moderate,1.0808066684654025,0.9688877883500183,1.2056536047260835,0.16353008926721488,housing_stability,aou_v7
Renal_Disease_Severe,1.2529446453179311,1.0954729223364534,1.4330525677281147,9.994341352438907e-4,housing_stability,aou_v7
HIV,1.0359620498542537,0.7129200103230693,1.5053825859816785,0.8529976757319544,housing_stability,aou_v7
Metastatic_Solid_Tumor,1.3128506997144935,1.112495193422951,1.54928935417482,0.0012739270888841765,housing_stability,aou_v7
Malignancy,1.063481448584347,0.9639596248628961,1.1732781771268912,0.21953001974261585,housing_stability,aou_v7
AIDS,0.731951608141761,0.5519323619547334,0.9706862535907067,0.030267261466683272,housing_stability,aou_v7
f.housing_stabilityUnstable,1.0087520961454761,0.9162074447618568,1.1106445350292742,0.8591215882359742,housing_stability,aou_v7
f.housing_stabilityMissing,1.2845077498259314,0.9679369543795927,1.7046153180714472,0.08286998371323694,housing_stability,aou_v7
