variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.750871823401304,0.6938622386019806,0.8125654687794819,1.1431603958387687e-12,income,aou_v7
f.sexOther,0.5961353084876463,0.41047993130981875,0.8657604889273681,0.00658442764895795,income,aou_v7
f.age45-54,1.027294740835068,0.9138312101393874,1.1548461825750278,0.6520120569752402,income,aou_v7
f.age55-64,1.3454307642538708,1.2070606989476773,1.49966272862573,8.381604713563483e-8,income,aou_v7
f.age65+,1.452995729471217,1.2998187573744113,1.624223821885859,4.9131999341282397e-11,income,aou_v7
f.vaccVaccinated,0.45046942149166613,0.39763593628962896,0.5103228385053007,5.18280222678018e-36,income,aou_v7
f.raceBlack,2.0731157296355303,1.8834830199394976,2.281841026950333,3.5149440447123195e-50,income,aou_v7
f.raceAsian,1.2510668957904683,0.9367010625426007,1.6709369086165797,0.12923853696929635,income,aou_v7
f.raceOther,1.3297779676819061,1.100545324062796,1.6067574907358586,0.0031525391515695718,income,aou_v7
f.ethnicityHispanic,0.9071390233328626,0.7518757605118568,1.0944643395513782,0.30888791605836785,income,aou_v7
f.ethnicityOther,1.0209308821195504,0.7770067917865804,1.3414295435807344,0.8817820928605438,income,aou_v7
f.wavedelta,1.2430538344694548,1.118098716636897,1.3819735345345305,5.691809727959049e-5,income,aou_v7
f.waveomicron,0.9971239662971534,0.916424205465463,1.0849300992209956,0.9466700581283733,income,aou_v7
Myocardial_Infarction,0.9861629306219444,0.8816200054923353,1.1031026061956994,0.8074569013245725,income,aou_v7
Congestive_Heart_Failure,1.2523179569436298,1.1339295150749078,1.3830667995090193,8.966974621865738e-6,income,aou_v7
Peripheral_Vascular_Disease,0.9580626888894563,0.8675272474565642,1.058046440078013,0.3976023937001976,income,aou_v7
Cerebrovascular_Disease,1.2515955415725284,1.1348292786090939,1.3803762638237576,7.079869258035068e-6,income,aou_v7
Dementia,1.2669973835744304,1.103305158750912,1.4549758579954841,7.997948544264406e-4,income,aou_v7
Chronic_Pulmonary_Disease,0.8878057574894104,0.82088343188295,0.9601839096975896,0.002919151772727984,income,aou_v7
Rheumatic_Disease,0.8932984273089123,0.7957808891016924,1.0027660768950715,0.055726986833311204,income,aou_v7
Peptic_Ulcer_Disease,0.9964096331217922,0.8773640385305144,1.1316079909552552,0.9558142671262836,income,aou_v7
Liver_Disease_Mild,0.8157720663344383,0.7464422440363678,0.8915412672961418,7.007035349635401e-6,income,aou_v7
Liver_Disease_Moderate_Severe,1.249361034015143,1.033932525300905,1.5096758783762203,0.021134454385227888,income,aou_v7
Diabetes_without_Chronic_Complications,1.0343501761737315,0.9277553167797088,1.153192299306076,0.5427645686156685,income,aou_v7
Diabetes_with_Chronic_Complications,0.986492735062434,0.8915589658678742,1.0915351127489883,0.7922217530160575,income,aou_v7
Hemiplegia_Paraplegia,1.0527919068220892,0.8977357494862305,1.234629232159247,0.5268132934600158,income,aou_v7
Renal_Disease_Mild_Moderate,1.074712773820518,0.9632061538884908,1.1991280802662996,0.19731538188025086,income,aou_v7
Renal_Disease_Severe,1.2478297205116915,1.0908189888070696,1.4274403245355338,0.0012510196023750983,income,aou_v7
HIV,1.0075834543378204,0.6930887037550019,1.464782807676813,0.9684310542613334,income,aou_v7
Metastatic_Solid_Tumor,1.3279234024667532,1.1244515411651737,1.5682139231999606,8.309890909130676e-4,income,aou_v7
Malignancy,1.0725316818924833,0.971905609858107,1.183576056147119,0.16359929948268026,income,aou_v7
AIDS,0.7076075627725544,0.5333131045041156,0.9388639781474757,0.016518652907185835,income,aou_v7
f.incomeless_10k,1.4202255396130747,1.2553780360690143,1.6067196696265622,2.50297202676731e-8,income,aou_v7
f.income10k_25k,1.345330631420897,1.190414714485144,1.5204067001323482,2.008973432876152e-6,income,aou_v7
f.income25k_35k,1.1575466385105428,0.9981605097497371,1.342383521727388,0.052911752791504695,income,aou_v7
f.income100k_150k,1.2192750653902498,1.044191406894599,1.4237156859043747,0.012184197999666179,income,aou_v7
f.income150k_200k,1.1997394493239038,0.9664905265367189,1.4892797257121788,0.09874052292922819,income,aou_v7
f.incomemore_200k,1.1039438652819806,0.9040960419984596,1.3479674736766478,0.3317841981801907,income,aou_v7
f.incomeMissing,1.6273826840049248,1.4593056918557734,1.8148181117769655,2.0302828990256906e-18,income,aou_v7
