variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7356501382582405,0.6794923830416785,0.7964491426626833,3.521961001600457e-14,insurance,aou_v7
f.sexOther,0.5817533914456531,0.40062536515962466,0.8447717940267535,0.004422215238200724,insurance,aou_v7
f.age45-54,1.0922353054534153,0.9715014511922562,1.2279734230091541,0.13988277676321556,insurance,aou_v7
f.age55-64,1.4846515035009542,1.3321233846497829,1.654644090965439,9.003817807628888e-13,insurance,aou_v7
f.age65+,1.7381049658202026,1.5411303690617075,1.9602552339865578,2.0979446602754993e-19,insurance,aou_v7
f.vaccVaccinated,0.4588680442190633,0.404901503800113,0.5200274141470587,2.9957336247361127e-34,insurance,aou_v7
f.raceBlack,2.1477110964192243,1.955825732893711,2.3584222643689596,1.1164483264175487e-57,insurance,aou_v7
f.raceAsian,1.3710365909227518,1.0243808258566676,1.8350024582675044,0.033839574263193735,insurance,aou_v7
f.raceOther,1.3543996412754078,1.1201829622572541,1.637588188799534,0.0017386568668491611,insurance,aou_v7
f.ethnicityHispanic,0.917359178860037,0.7598251641033897,1.1075546096605082,0.3695554662575268,insurance,aou_v7
f.ethnicityOther,1.0393259407538347,0.7899033980015613,1.367506981052015,0.782932230953496,insurance,aou_v7
f.wavedelta,1.248781902860667,1.1231573078640498,1.3884575473029548,4.007269172228978e-5,insurance,aou_v7
f.waveomicron,1.0577283107404998,0.971913233741179,1.1511204297891942,0.19357607468818383,insurance,aou_v7
Myocardial_Infarction,0.9273506590845255,0.8222313447031686,1.0459090989956878,0.2191680243827978,insurance,aou_v7
Congestive_Heart_Failure,1.1795713000200938,1.0644807983210198,1.307105261105412,0.0016161898715325383,insurance,aou_v7
Peripheral_Vascular_Disease,0.9164581336904734,0.8261088725564913,1.016688645660311,0.09946617446270418,insurance,aou_v7
Cerebrovascular_Disease,1.1951773800629835,1.078173236019457,1.324878898949444,6.940479248592974e-4,insurance,aou_v7
Dementia,1.0971187908350524,0.93302995819302,1.290065373178895,0.26213198789121317,insurance,aou_v7
Chronic_Pulmonary_Disease,0.8298931907508242,0.7664091766440968,0.8986357797414675,4.384066654647331e-6,insurance,aou_v7
Rheumatic_Disease,0.9047740541999901,0.8028710632966417,1.0196109021443553,0.10070652655715978,insurance,aou_v7
Peptic_Ulcer_Disease,0.9355689244998537,0.8164221292443802,1.0721037330282999,0.33793323420278165,insurance,aou_v7
Liver_Disease_Mild,0.7438056894818645,0.6776876653718855,0.8163744627135776,4.619627862170941e-10,insurance,aou_v7
Liver_Disease_Moderate_Severe,1.3169708678903496,1.0752740586048524,1.6129955456399903,0.007777868681029683,insurance,aou_v7
Diabetes_without_Chronic_Complications,1.0106512491768285,0.9051352708060746,1.128467733395313,0.850620149552654,insurance,aou_v7
Diabetes_with_Chronic_Complications,0.9484701894362725,0.8544899254957223,1.0527867835625897,0.3203438710011367,insurance,aou_v7
Hemiplegia_Paraplegia,0.9903248293742952,0.8339797783984776,1.1759796737021426,0.9116937862200605,insurance,aou_v7
Renal_Disease_Mild_Moderate,1.034546692914348,0.9216050840966138,1.1613291617950905,0.5647232368797013,insurance,aou_v7
Renal_Disease_Severe,1.2872610559148547,1.1188713249612037,1.4809933806574977,4.151136760655104e-4,insurance,aou_v7
HIV,0.9035643861019697,0.6307926998621162,1.2942898673530798,0.5802103606394114,insurance,aou_v7
Metastatic_Solid_Tumor,1.2218514153770237,1.022692709284346,1.4597941959550522,0.027301382669248114,insurance,aou_v7
Malignancy,1.0824029151388164,0.9781665016517301,1.1977470795847667,0.12534935973588224,insurance,aou_v7
AIDS,0.7183409962107999,0.5343212559227948,0.9657369627677408,0.028459320049605313,insurance,aou_v7
f.insuranceMedicare,1.0562337133013824,0.9306829960977607,1.1987214355394098,0.39679215774900617,insurance,aou_v7
f.insuranceMedicaid,1.5868579069729314,1.4260290355992793,1.7658252069631175,2.470034188202564e-17,insurance,aou_v7
f.insuranceOther_None,1.3100153448602194,1.131811207652632,1.5162777963018248,2.949070835867183e-4,insurance,aou_v7
f.insuranceMissing,0.9767590642804995,0.8612058064990896,1.1078168104003898,0.7143168441937199,insurance,aou_v7
