variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7462671012331904,0.6885016038431742,0.8088791417105282,1.0785821793480703e-12,joint_sdoh,aou_v7
f.sexOther,0.5784906690093584,0.39786053403328014,0.841127544716215,0.004158039220934737,joint_sdoh,aou_v7
f.age45-54,1.0339596946724856,0.9168180661983911,1.1660684814383688,0.5861891237770407,joint_sdoh,aou_v7
f.age55-64,1.3338383884074243,1.190592766241205,1.4943185418521832,6.70745649821068e-7,joint_sdoh,aou_v7
f.age65+,1.4403540965404855,1.258479133293718,1.6485135657285153,1.1692740213962539e-7,joint_sdoh,aou_v7
f.vaccVaccinated,0.45286039985708976,0.39939740637384485,0.5134799036896133,4.3416305927204294e-35,joint_sdoh,aou_v7
f.raceBlack,1.991294146657801,1.8036087536949643,2.1985102757957913,2.4061180099399502e-42,joint_sdoh,aou_v7
f.raceAsian,1.2486055154041877,0.9321378414873237,1.6725162993170453,0.13654500472725348,joint_sdoh,aou_v7
f.raceOther,1.2674999888522334,1.0446271627100763,1.5379230782899833,0.0162833903178877,joint_sdoh,aou_v7
f.ethnicityHispanic,0.8592568282293978,0.7091301472489043,1.041166138152767,0.12156366520337802,joint_sdoh,aou_v7
f.ethnicityOther,1.0555217269679449,0.7993511003594216,1.3937881809388082,0.7032174472335161,joint_sdoh,aou_v7
f.wavedelta,1.2542524319015076,1.1272404250843175,1.395575538211535,3.199958295992734e-5,joint_sdoh,aou_v7
f.waveomicron,1.0117951029501173,0.9292367892394868,1.1016883341346042,0.787148279680545,joint_sdoh,aou_v7
Myocardial_Infarction,0.9906113358710302,0.8850414201941459,1.1087738905382793,0.8696758976343693,joint_sdoh,aou_v7
Congestive_Heart_Failure,1.242522135833139,1.1242264694522832,1.3732653517644948,2.1001968864613305e-5,joint_sdoh,aou_v7
Peripheral_Vascular_Disease,0.9515292950144723,0.8610827700212821,1.0514761539687536,0.3295633859920326,joint_sdoh,aou_v7
Cerebrovascular_Disease,1.2392162504401032,1.1228432468907712,1.3676503105906954,2.0185478680342784e-5,joint_sdoh,aou_v7
Dementia,1.2560773413681257,1.0922060707912677,1.4445353580166467,0.0013905140015248627,joint_sdoh,aou_v7
Chronic_Pulmonary_Disease,0.8761509554072224,0.80941539019005,0.9483888074833211,0.001071854326461954,joint_sdoh,aou_v7
Rheumatic_Disease,0.9018420459415458,0.8028847383440733,1.0129960590675575,0.08146392659901633,joint_sdoh,aou_v7
Peptic_Ulcer_Disease,0.9852768301325008,0.8671532833785369,1.119491156412055,0.819921484735175,joint_sdoh,aou_v7
