condition,n_all_records,n_pre_index,n_lost,pct_change
Myocardial_Infarction,2364,1985,379,16.032148900169204
Congestive_Heart_Failure,4041,3458,583,14.427121999505074
Peripheral_Vascular_Disease,3768,3253,515,13.667728237791932
Cerebrovascular_Disease,3351,2961,390,11.638316920322293
Dementia,1092,804,288,26.373626373626376
Chronic_Pulmonary_Disease,10584,9828,756,7.142857142857142
Rheumatic_Disease,2208,2054,154,6.974637681159421
Peptic_Ulcer_Disease,1604,1413,191,11.907730673316708
Liver_Disease_Mild,5101,4514,587,11.507547539698098
Liver_Disease_Moderate_Severe,540,454,86,15.925925925925927
Diabetes_without_Chronic_Complications,3225,3048,177,5.488372093023256
Diabetes_with_Chronic_Complications,4397,3902,495,11.25767568796907
Hemiplegia_Paraplegia,868,741,127,14.631336405529954
Renal_Disease_Mild_Moderate,2909,2532,377,12.959779993124783
Renal_Disease_Severe,1448,1273,175,12.085635359116022
HIV,190,197,-7,-3.684210526315789
Metastatic_Solid_Tumor,849,735,114,13.427561837455832
Malignancy,3398,3195,203,5.974102413184227
AIDS,290,271,19,6.551724137931035
