variable,AOR,CI_lower,CI_upper,p_value,model,cohort,pct_attenuation
f.raceBlack,2.297423128826523,2.0961326094229196,2.5180434716485633,1.0129676652751519e-70,A_base_no_sdoh,aou_v7,NA
f.raceBlack,2.1477110964192243,1.955825732893711,2.3584222643689596,1.1164483264175487e-57,B_insurance,aou_v7,8.1
f.raceBlack,2.299584170983937,2.0970851434576026,2.521636937793123,3.762614971936107e-70,B_disability_lumped,aou_v7,-0.1
f.raceBlack,2.2906001393041637,2.089016896095387,2.511635500884277,1.343893930272149e-69,B_disability_hearing,aou_v7,0.4
f.raceBlack,2.2996939156040668,2.0970916369758896,2.521869818284516,4.302742478086965e-70,B_disability_vision,aou_v7,-0.1
f.raceBlack,2.297644191815419,2.09533338345027,2.5194887237897263,5.0301253719054614e-70,B_disability_cognition,aou_v7,-0
f.raceBlack,2.2910417195529633,2.0892944253313903,2.512270217683492,1.5308375136856562e-69,B_disability_mobility,aou_v7,0.3
f.raceBlack,2.292551891625122,2.0908081422469316,2.5137620566876473,9.574873539053243e-70,B_disability_selfcare,aou_v7,0.3
f.raceBlack,2.2906704496691663,2.089084561931625,2.5117083360837547,1.3208476852557928e-69,B_disability_independent,aou_v7,0.4
f.raceBlack,2.2344456308936276,2.036500847615525,2.4516303458775734,1.0043179348137966e-64,B_employment,aou_v7,3.3
f.raceBlack,2.0846348341512058,1.893577940126429,2.2949688521754084,1.0169170244391688e-50,B_income,aou_v7,11.7
f.raceBlack,2.144516129928011,1.9501014228794908,2.3583129459649705,8.743457251030488e-56,B_housing,aou_v7,8.3
f.raceBlack,2.2919103557417047,2.0905939817868817,2.512612742846569,5.818398816969116e-70,B_housing_stability,aou_v7,0.3
f.raceBlack,2.1928552101057215,1.9963083702909492,2.4087530984939884,2.2937613506467928e-60,B_education,aou_v7,5.6
f.raceBlack,1.9963029664178704,1.8076994764838221,2.204584105694658,1.9394892606351372e-42,C_joint_all_sdoh,aou_v7,16.9
