variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7521614331809199,0.690212949457202,0.8196699612919325,8.325191733319892e-11,S1_IP_only_cases,aou_v7
f.sexOther,0.57787186091399,0.3857197260847916,0.8657474976086387,0.007837702916528643,S1_IP_only_cases,aou_v7
f.age45-54,1.0627518276497303,0.9315787981411883,1.212394968011784,0.3651937020462796,S1_IP_only_cases,aou_v7
f.age55-64,1.435984451661484,1.2700620642131137,1.6235831330739792,7.64166404204954e-9,S1_IP_only_cases,aou_v7
f.age65+,1.5997915032719643,1.3841791929256386,1.8489895434215393,1.9958754463454166e-10,S1_IP_only_cases,aou_v7
f.vaccVaccinated,0.435620752393307,0.3804732130152755,0.49876163005486557,2.3865291239809026e-33,S1_IP_only_cases,aou_v7
f.raceBlack,1.91731484912294,1.723944548023077,2.132374985542814,3.5183478426958104e-33,S1_IP_only_cases,aou_v7
f.raceAsian,1.3564125120015094,1.000229418673825,1.8394329024571727,0.049823522446197796,S1_IP_only_cases,aou_v7
f.raceOther,1.2007173261650317,0.97237536027479,1.4826806151746554,0.08918779792213903,S1_IP_only_cases,aou_v7
f.ethnicityHispanic,0.8516602491198589,0.6905744087336226,1.0503215450178696,0.13334704206952258,S1_IP_only_cases,aou_v7
f.ethnicityOther,1.1340023038457605,0.8414112449341118,1.528338529904235,0.4088519326612967,S1_IP_only_cases,aou_v7
f.wavedelta,1.1972759965828301,1.0672042349699826,1.343201015346166,0.0021514754697710197,S1_IP_only_cases,aou_v7
f.waveomicron,0.9878796185247757,0.9018500466506832,1.0821157511950072,0.7930710745341394,S1_IP_only_cases,aou_v7
Myocardial_Infarction,0.9895873745351959,0.8789306077359668,1.1141757531484686,0.8626445464506256,S1_IP_only_cases,aou_v7
Congestive_Heart_Failure,1.2815675195088627,1.152883640947714,1.42461498170793,4.325039306927292e-6,S1_IP_only_cases,aou_v7
Peripheral_Vascular_Disease,0.951561657269545,0.8564350093656935,1.0572542897985762,0.3555145552546043,S1_IP_only_cases,aou_v7
