variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7230831107554183,0.6657401592971831,0.7853652476240889,1.4562776823931132e-14,S2_clean_controls,aou_v7
f.sexOther,0.5586820343417276,0.3808755896820162,0.8194949320768952,0.0028972165479675175,S2_clean_controls,aou_v7
f.age45-54,1.0264837136891667,0.9078748281467376,1.160588202032187,0.676499210901753,S2_clean_controls,aou_v7
f.age55-64,1.262616462356527,1.1236514844311436,1.4187676099772042,8.866547973549833e-5,S2_clean_controls,aou_v7
f.age65+,1.3821111852981238,1.203025527146728,1.587856022520794,4.8622626350777094e-06,S2_clean_controls,aou_v7
f.vaccVaccinated,0.4711621159315624,0.4145409858120832,0.5355169864669055,1.0372342156531158e-30,S2_clean_controls,aou_v7
f.raceBlack,2.187597151894078,1.9747693796409747,2.4233621142359065,8.489067632774993e-51,S2_clean_controls,aou_v7
f.raceAsian,1.2996101978054437,0.9657096350295425,1.748959112526858,0.08368352572937884,S2_clean_controls,aou_v7
f.raceOther,1.270174972767128,1.042672053223995,1.5473172570948186,0.017550340910111203,S2_clean_controls,aou_v7
f.ethnicityHispanic,0.8712536928695536,0.7160274319306011,1.0601311674500289,0.168601131236722,S2_clean_controls,aou_v7
f.ethnicityOther,1.0465843949633833,0.7866005451734888,1.3924969954594788,0.7546526841196589,S2_clean_controls,aou_v7
f.wavedelta,1.3192829958898795,1.1818674551501327,1.472675819661249,7.911317224051485e-7,S2_clean_controls,aou_v7
f.waveomicron,1.0282652021358556,0.9422752928188358,1.1221023558417513,0.5315992830401707,S2_clean_controls,aou_v7
Myocardial_Infarction,0.9530481057368838,0.8487384086065439,1.0701774335155962,0.41612988649032456,S2_clean_controls,aou_v7
Congestive_Heart_Failure,1.2040148023894748,1.0868224084126725,1.3338440881893607,3.8005301046765196e-4,S2_clean_controls,aou_v7
Peripheral_Vascular_Disease,0.969322535333463,0.874724705308471,1.0741507262835892,0.5520391228592235,S2_clean_controls,aou_v7
Cerebrovascular_Disease,1.2494006063583023,1.1285333392686983,1.383212901960025,1.7918801982812483e-5,S2_clean_controls,aou_v7
Dementia,1.2967339922738987,1.1221356848351403,1.4984988619853452,4.2864622979462303e-4,S2_clean_controls,aou_v7
Chronic_Pulmonary_Disease,0.8961805714626436,0.8262723441998604,0.9720035074450531,0.008162579164653305,S2_clean_controls,aou_v7
Rheumatic_Disease,0.8634328671462265,0.7660325672377839,0.9732175209685799,0.01619217543812084,S2_clean_controls,aou_v7
Peptic_Ulcer_Disease,1.0170783949455813,0.8927649139063354,1.15870196661157,0.7990332537381893,S2_clean_controls,aou_v7
Liver_Disease_Mild,0.7886590795217392,0.719690263009773,0.8642372638347489,3.6760942533520664e-7,S2_clean_controls,aou_v7
Liver_Disease_Moderate_Severe,1.1538294708888506,0.948528030002448,1.4035667958997577,0.15232342973236682,S2_clean_controls,aou_v7
Diabetes_without_Chronic_Complications,1.0679097253129182,0.9543928908316716,1.1949284119500556,0.2518419251830202,S2_clean_controls,aou_v7
Diabetes_with_Chronic_Complications,0.9909807050038293,0.8924371346341037,1.1004055295082729,0.865367608405203,S2_clean_controls,aou_v7
Hemiplegia_Paraplegia,0.9965776704620898,0.8449194685299118,1.1754576504097745,0.9675337104648163,S2_clean_controls,aou_v7
