variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7596670760182506,0.6958359172586701,0.8293536623686377,8.32985467737915e-10,S3_pre_index_sdoh,aou_v7
f.sexOther,0.5575605160120003,0.3762231585535653,0.8263014169854909,0.0036072283966751477,S3_pre_index_sdoh,aou_v7
f.age45-54,0.9569021748581001,0.839577293149288,1.0906223640392634,0.5091737108213213,S3_pre_index_sdoh,aou_v7
f.age55-64,1.2850961811724309,1.1348993768032711,1.4551705892338676,7.63583426712493e-5,S3_pre_index_sdoh,aou_v7
f.age65+,1.3708388573928436,1.1850437672156886,1.585763517708191,2.1876997524036583e-5,S3_pre_index_sdoh,aou_v7
f.vaccVaccinated,0.44710563552928,0.3916144152834672,0.5104598848266163,1.1040455914163511e-32,S3_pre_index_sdoh,aou_v7
f.raceBlack,1.936926737386411,1.7405192565814518,2.155497660721686,8.369076291928281e-34,S3_pre_index_sdoh,aou_v7
f.raceAsian,1.2193643339161315,0.8775874332001175,1.6942464335490124,0.23725820180561125,S3_pre_index_sdoh,aou_v7
f.raceOther,1.2030616334305002,0.9739876713825729,1.486011924337752,0.08626588504319092,S3_pre_index_sdoh,aou_v7
f.ethnicityHispanic,0.8898344619187876,0.7216103280734127,1.0972755499942681,0.27495459255430704,S3_pre_index_sdoh,aou_v7
f.ethnicityOther,1.0711641667173384,0.7901608199302449,1.4521001840619499,0.657877572537215,S3_pre_index_sdoh,aou_v7
f.wavedelta,1.2362518436312981,1.0997455257690112,1.3897020584039996,3.812970629904849e-4,S3_pre_index_sdoh,aou_v7
f.waveomicron,1.0073866327838297,0.9182956829077721,1.1051209831435802,0.8762056662950533,S3_pre_index_sdoh,aou_v7
Myocardial_Infarction,1.0098553446293748,0.8959847772844745,1.1381977048397163,0.8723564764455506,S3_pre_index_sdoh,aou_v7
Congestive_Heart_Failure,1.3084561629543219,1.1757681708999477,1.456118283132904,8.30381273769152e-7,S3_pre_index_sdoh,aou_v7
Peripheral_Vascular_Disease,0.934338726775586,0.8386793896851352,1.0409089183416904,0.2177870688528248,S3_pre_index_sdoh,aou_v7
Cerebrovascular_Disease,1.2006710717074756,1.0790432234120433,1.3360085964644297,7.906388180397248e-4,S3_pre_index_sdoh,aou_v7
