variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7545159550325876,0.6963781726675493,0.8175074244759805,5.765230064350988e-12,S4_no_vaccination,aou_v7
f.sexOther,0.5993150641568825,0.4130700658816034,0.8695341923622183,0.007012896379424681,S4_no_vaccination,aou_v7
f.age45-54,1.028547045532284,0.9124910244153397,1.1593637598255002,0.6449448384997654,S4_no_vaccination,aou_v7
f.age55-64,1.3119312963494465,1.1713994389531945,1.4693226487108735,2.64410384962712e-6,S4_no_vaccination,aou_v7
f.age65+,1.3669800011897635,1.1948528675806442,1.5639032841226752,5.296671919283507e-6,S4_no_vaccination,aou_v7
f.raceBlack,1.9852597713918776,1.799231310624564,2.1905223284152435,1.7454642173844778e-42,S4_no_vaccination,aou_v7
f.raceAsian,1.2235353913235194,0.9147011950745882,1.6366425034561403,0.17405622510767263,S4_no_vaccination,aou_v7
f.raceOther,1.2415871782994574,1.0237431225032105,1.5057866445523052,0.027920852313222735,S4_no_vaccination,aou_v7
f.ethnicityHispanic,0.8633386209283136,0.712892609605877,1.0455341580809365,0.13252968111423166,S4_no_vaccination,aou_v7
f.ethnicityOther,1.0371954995133685,0.7865734632240096,1.3676720033261718,0.7957932749739159,S4_no_vaccination,aou_v7
f.wavedelta,1.0967754762880524,0.9879527633932943,1.217584979726419,0.08315629360002914,S4_no_vaccination,aou_v7
f.waveomicron,0.8393216895003669,0.7740094069378153,0.910145137967745,2.255754019022021e-5,S4_no_vaccination,aou_v7
Myocardial_Infarction,1.00049966114637,0.8944272322642157,1.1191514925367383,0.9930295079931752,S4_no_vaccination,aou_v7
Congestive_Heart_Failure,1.2557251425156346,1.1370869384743316,1.386741488440293,6.885464021992644e-6,S4_no_vaccination,aou_v7
Peripheral_Vascular_Disease,0.9471274511147232,0.8575352815088213,1.046079884989367,0.28397198445265365,S4_no_vaccination,aou_v7
Cerebrovascular_Disease,1.2116443106210382,1.098633145269629,1.3362803969472732,1.2152183781237849e-4,S4_no_vaccination,aou_v7
Dementia,1.2211761377637753,1.0633290666116864,1.40245499372608,0.004661479763506912,S4_no_vaccination,aou_v7
Chronic_Pulmonary_Disease,0.8651947592267024,0.7996952075032476,0.9360590939771406,3.1201037771249e-4,S4_no_vaccination,aou_v7
Rheumatic_Disease,0.8854287403862408,0.7886024550454843,0.9941435628129599,0.03945520693369978,S4_no_vaccination,aou_v7
Peptic_Ulcer_Disease,0.9566065164686389,0.8425745655869364,1.0860712686156264,0.49332050739930083,S4_no_vaccination,aou_v7
Liver_Disease_Mild,0.7963377301075213,0.7284499313085823,0.8705523236904011,5.461745455884903e-7,S4_no_vaccination,aou_v7
Liver_Disease_Moderate_Severe,1.2435752399403854,1.028990783072188,1.5029088722987083,0.024087859307253188,S4_no_vaccination,aou_v7
Diabetes_without_Chronic_Complications,1.0504206621500365,0.941920649197697,1.1714188115650228,0.3765192935313656,S4_no_vaccination,aou_v7
Diabetes_with_Chronic_Complications,0.9772221868661878,0.8828222061653114,1.0817163363522306,0.6566528782555359,S4_no_vaccination,aou_v7
Hemiplegia_Paraplegia,1.0350428713307145,0.8826841367490964,1.2137000098791306,0.6715925535263434,S4_no_vaccination,aou_v7
