variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7287983174931467,0.672342623937278,0.7899945186732524,1.46773520813884e-14,S5_income_collapsed,aou_v7
f.sexOther,0.5460429841692557,0.3756620874474466,0.7936998449495589,0.0015200667085523887,S5_income_collapsed,aou_v7
f.age45-54,1.084187614255178,0.961338890046086,1.2227350782074198,0.18770695050185765,S5_income_collapsed,aou_v7
f.age55-64,1.4205741527546996,1.2685043297719287,1.5908742888071696,1.222765785492723e-9,S5_income_collapsed,aou_v7
f.age65+,1.5979249813871064,1.3970651978480875,1.827662910846219,7.988897200040493e-12,S5_income_collapsed,aou_v7
f.vaccVaccinated,0.46123384379168186,0.4067092951754971,0.5230681009320248,1.79929759389869e-33,S5_income_collapsed,aou_v7
f.raceBlack,1.9996797972169544,1.8111490530664345,2.207835564183664,8.121267578462101e-43,S5_income_collapsed,aou_v7
f.raceAsian,1.268741669576509,0.9453669669197524,1.7027307706388557,0.11280350522102958,S5_income_collapsed,aou_v7
f.raceOther,1.256589039079102,1.0345749114364386,1.5262461864084658,0.021296533531018298,S5_income_collapsed,aou_v7
f.ethnicityHispanic,0.8693980220759352,0.7167001956960442,1.0546291536246615,0.15553740008911632,S5_income_collapsed,aou_v7
f.ethnicityOther,1.0664352765296758,0.8068818492970371,1.409480458654187,0.6512492028402511,S5_income_collapsed,aou_v7
f.wavedelta,1.2452998818448415,1.1192385035578531,1.3855597272548776,5.607875323283606e-5,S5_income_collapsed,aou_v7
f.waveomicron,1.0693985663208345,0.9819330151009572,1.164655099748811,0.12326660925783928,S5_income_collapsed,aou_v7
Myocardial_Infarction,0.9237784212410023,0.8185348611020086,1.0425537287460374,0.19889060151254143,S5_income_collapsed,aou_v7
Congestive_Heart_Failure,1.1737840232804115,1.058459331717823,1.3016739444039898,0.002391398807191387,S5_income_collapsed,aou_v7
Peripheral_Vascular_Disease,0.9110245164824006,0.8206154628623287,1.011394139146549,0.08054527939200744,S5_income_collapsed,aou_v7
Cerebrovascular_Disease,1.1982303684449043,1.0802225144417201,1.3291298752513385,6.289593383459253e-4,S5_income_collapsed,aou_v7
Dementia,1.0913863059035724,0.9266831330354715,1.2853628454552357,0.2947660466426393,S5_income_collapsed,aou_v7
Chronic_Pulmonary_Disease,0.8329603600112928,0.7686658877486269,0.9026326943976994,8.216260314540735e-6,S5_income_collapsed,aou_v7
Rheumatic_Disease,0.9043751008014416,0.8019796312988816,1.0198442591677304,0.10111308434826596,S5_income_collapsed,aou_v7
Peptic_Ulcer_Disease,0.9224184331076868,0.8044323443597237,1.0577095410230757,0.24747252693919214,S5_income_collapsed,aou_v7
Liver_Disease_Mild,0.7421092413560003,0.6757370187710782,0.815000674533934,4.3918020793591593e-10,S5_income_collapsed,aou_v7
Liver_Disease_Moderate_Severe,1.319413675555051,1.075496301239268,1.6186503340232299,0.007863062688611777,S5_income_collapsed,aou_v7
