variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.7273301238567202,0.6709136851502997,0.7884905626137617,1.0865450563590621e-14,SANITY_full_data,aou_v7
f.sexOther,0.5445514639916407,0.37456928818027563,0.7916727459853032,0.0014543371747834093,SANITY_full_data,aou_v7
f.age45-54,1.0842208501770445,0.9613032861203363,1.2228553349722757,0.18778796550554364,SANITY_full_data,aou_v7
f.age55-64,1.4203973463301816,1.2681485542706081,1.5909245132737855,1.305536743566067e-9,SANITY_full_data,aou_v7
f.age65+,1.5977064172148892,1.3967672736141679,1.82755269530661,8.323787561069962e-12,SANITY_full_data,aou_v7
f.vaccVaccinated,0.4612081579030356,0.40668167491617296,0.5230453645597796,1.8059415935682025e-33,SANITY_full_data,aou_v7
f.raceBlack,1.9963029664178704,1.8076994764838221,2.204584105694658,1.9394892606351372e-42,SANITY_full_data,aou_v7
f.raceAsian,1.2710608374396422,0.9469802859020219,1.7060499321101177,0.11021539115039616,SANITY_full_data,aou_v7
f.raceOther,1.2591550943361876,1.036543788883743,1.5295750826891477,0.020254708302993904,SANITY_full_data,aou_v7
f.ethnicityHispanic,0.8671607913788814,0.7147376552256426,1.0520892982299241,0.14841547392790733,SANITY_full_data,aou_v7
f.ethnicityOther,1.0644026396645785,0.8052520703888376,1.4069544444360702,0.6610668839051999,SANITY_full_data,aou_v7
f.wavedelta,1.2433842476350996,1.1174568338955488,1.3835025572107345,6.375883503820287e-5,SANITY_full_data,aou_v7
f.waveomicron,1.0689131173071957,0.981435902965851,1.1641873390799955,0.1260567521740306,SANITY_full_data,aou_v7
Myocardial_Infarction,0.9231065512691905,0.8179060573632679,1.041838114933574,0.19495142795388642,SANITY_full_data,aou_v7
Congestive_Heart_Failure,1.1742783049562788,1.0588179286361326,1.3023292297923177,0.002347672579362528,SANITY_full_data,aou_v7
Peripheral_Vascular_Disease,0.9122692329431547,0.8216870217029878,1.012837164751419,0.08526323047091322,SANITY_full_data,aou_v7
Cerebrovascular_Disease,1.198558070318106,1.0804878299462568,1.3295304288583383,6.192085983985824e-4,SANITY_full_data,aou_v7
Dementia,1.0914780782784097,0.926761873758711,1.2854697944474356,0.29429940636736807,SANITY_full_data,aou_v7
Chronic_Pulmonary_Disease,0.8330771388585886,0.7687602455171118,0.9027749852256948,8.386105514700937e-6,SANITY_full_data,aou_v7
Rheumatic_Disease,0.9038422479735716,0.8014849167247532,1.019271594729799,0.09920609218812079,SANITY_full_data,aou_v7
