sensitivity,variable,AOR,CI_lower,CI_upper,p_value
S1,f.incomeless_10k,1.1743469075951785,1.0065341599384434,1.3701379588177114,0.04107378557385706
S1,f.income10k_25k,1.2085189408491688,1.0484899705578534,1.3929728193910351,0.008965363226965827
S1,f.insuranceMedicaid,1.2356235631980157,1.0743180011384614,1.421148662046282,0.003032778831222947
S1,f.employmentUnemployed,1.2380644408785344,1.0903738722883582,1.4057596194514421,9.842914804876828e-4
S1,f.housingRent,1.1162845716372278,1.0077619121284067,1.2364936895100034,0.03501570531348514
S2,f.incomeless_10k,1.24287932337415,1.0731262213092219,1.4394849196643238,0.0037085242359011284
S2,f.income10k_25k,1.2017315709803822,1.0488983866616617,1.3768338163693004,0.008099162682885493
S2,f.insuranceMedicaid,1.3475498073301249,1.1798615060483706,1.5390708773246569,1.085350405355044e-5
S2,f.employmentUnemployed,1.2113744118840022,1.0743258958735444,1.365905793952898,0.0017457710313394646
S2,f.housingRent,1.1573258024333244,1.0497008251163957,1.2759854817008638,0.0033461146803028747
S3,f.incomeless_10k,1.1292550915138524,0.9664613349634301,1.3194703353116675,0.1258965206146367
S3,f.income10k_25k,1.1861798933944376,1.0270361242309252,1.3699836902493172,0.02018175115844252
S3,f.insuranceMedicaid,1.4352847199209204,1.243491401517935,1.6566598086032382,7.902836557999269e-7
S3,f.employmentUnemployed,1.2666671188360714,1.1159803772962151,1.4377005389895001,2.5406903177143314e-4
S3,f.housingRent,1.0895232053591255,0.9808517931982771,1.2102346381458482,0.10974178198553908
S4,f.incomeless_10k,1.1995143124135892,1.0397852199623017,1.3837805712772222,0.012592010539080576
S4,f.income10k_25k,1.2068273230514877,1.0574503692227923,1.3773054793428008,0.00529356648354847
S4,f.insuranceMedicaid,1.3005130260860747,1.1427280621340676,1.4800845337262116,6.839585522063084e-5
S4,f.employmentUnemployed,1.2539325001355266,1.115762140412313,1.4092131807905717,1.4529947153623166e-4
S4,f.housingRent,1.1333127879124414,1.0301877094371663,1.2467610159585278,0.010140355098335482
S5,f.insuranceMedicaid,1.3301543286928441,1.1685854874030612,1.5140617072630571,1.5748750548035664e-5
S5,f.employmentUnemployed,1.2384272052327985,1.103583824029487,1.3897466683235293,2.7713543105266656e-4
S5,f.housingRent,1.135188056286876,1.0315673481709637,1.2492174412278945,0.009420646235966789
S5,f.income_3catlt_35k,1.1618564090776407,1.037929408596443,1.3005800819732316,0.009136190998669299
