Variable,Cases_n,Cases_pct,Controls_n,Controls_pct
N,"6,531",,"26,075",
  Female,"4,057",(62.1),"17,874",(68.5)
  Male,"2,413",(36.9),"7,928",(30.4)
  Other,61,(0.9),273,(1.0)
Race,,,,
  White,"2,859",(43.8),"15,022",(57.6)
  Black,"1,852",(28.4),"4,059",(15.6)
  Asian,100,(1.5),401,(1.5)
  Other,"1,720",(26.3),"6,593",(25.3)
Ethnicity,,,,
  Not Hispanic,"4,828",(73.9),"19,465",(74.7)
  Hispanic,"1,495",(22.9),"5,835",(22.4)
  Other,208,(3.2),775,(3.0)
Age group,,,,
  <45,"1,801",(27.6),"7,043",(27.0)
  45-54,"1,076",(16.5),"4,752",(18.2)
  55-64,"1,573",(24.1),"5,983",(22.9)
  65+,"2,081",(31.9),"8,297",(31.8)
  Mean age (SD),55.4,(16.6),55.4,(16.0)
Vaccination,,,,
  Vaccinated,793,(12.1),"4,528",(17.4)
  Unknown,"5,738",(87.9),"21,547",(82.6)
Charlson comorbidities,,,,
  Myocardial Infarction,957,(14.7),"3,385",(13.0)
  Congestive Heart Failure,"1,643",(25.2),"5,635",(21.6)
  Peripheral Vascular Disease,"1,408",(21.6),"5,305",(20.3)
  Cerebrovascular Disease,"1,287",(19.7),"4,585",(17.6)
  Dementia,232,(3.6),821,(3.1)
  Chronic Pulmonary Disease,"3,272",(50.1),"13,543",(51.9)
  Rheumatic Disease,726,(11.1),"3,137",(12.0)
  Peptic Ulcer Disease,590,(9.0),"2,353",(9.0)
  Liver Disease Mild,"1,540",(23.6),"7,070",(27.1)
  Liver Disease Moderate Severe,223,(3.4),847,(3.2)
  Diabetes without Chronic Complications,"1,033",(15.8),"4,189",(16.1)
  Diabetes with Chronic Complications,"1,655",(25.3),"5,812",(22.3)
  Hemiplegia Paraplegia,357,(5.5),"1,279",(4.9)
  Renal Disease Mild Moderate,"1,048",(16.0),"4,005",(15.4)
  Renal Disease Severe,718,(11.0),"2,211",(8.5)
  HIV,64,(1.0),187,(0.7)
  Metastatic Solid Tumor,301,(4.6),"1,178",(4.5)
  Malignancy,"1,094",(16.8),"4,356",(16.7)
  AIDS,99,(1.5),430,(1.6)
