Variable,Cases_n,Cases_pct,Controls_n,Controls_pct
Income,,,,
  less_10k,675,(16.6),"2,301",(14.2)
  10k_25k,650,(16.0),"2,343",(14.4)
  25k_35k,318,(7.8),"1,411",(8.7)
  35k_100k,793,(19.5),"4,379",(27.0)
  100k_150k,277,(6.8),"1,328",(8.2)
  150k_200k,122,(3.0),604,(3.7)
  more_200k,143,(3.5),702,(4.3)
  Missing,"1,086",(26.7),"3,153",(19.4)
Employment,,,,
  Employed,"1,087",(26.7),"6,085",(37.5)
  Student,84,(2.1),344,(2.1)
  Unemployed,"1,332",(32.8),"4,467",(27.5)
  Others,"1,441",(35.5),"4,931",(30.4)
  Missing,120,(3.0),394,(2.4)
Education,,,,
  Never_Attended,<20,,<20,
  Below_GED,565,(13.9),"1,693",(10.4)
  GED_or_College,"2,128",(52.4),"8,318",(51.3)
  Advanced,"1,243",(30.6),"5,905",(36.4)
  Missing,112,(2.8),287,(1.8)
Housing,,,,
  Own,"1,519",(37.4),"6,942",(42.8)
  Rent,"2,030",(50.0),"7,067",(43.6)
  Others,345,(8.5),"1,629",(10.0)
  Missing,169,(4.2),578,(3.6)
Housing Stability,,,,
  Stable,"3,281",(80.7),"13,208",(81.4)
  Unstable,710,(17.5),"2,803",(17.3)
  Missing,73,(1.8),210,(1.3)
Disability (any),,,,
  Yes,557,(13.7),"2,239",(13.8)
  No,815,(20.1),"3,492",(21.5)
  Missing,"2,692",(66.2),"10,490",(64.7)
Insurance type,,,,
  Employer,975,(24.0),"5,144",(31.7)
  Medicare,"1,317",(32.4),"4,504",(27.8)
  Medicaid,"1,410",(34.7),"4,269",(26.3)
