variable,AOR,CI_low_exact,CI_high_exact,P_exact,CI_low_efron,CI_high_efron,P_efron,ci_width_exact,ci_width_efron,ci_width_ratio,sig_exact,sig_efron,flip,model
AIDS,0.8028491028456904,0.605076859042341,1.0652641434020296,0.12804924204770132,0.6013262677624341,1.071908407292094,0.13646085556463675,0.4601872843596886,0.47058213952965977,1.0225883146346268,FALSE,FALSE,FALSE,base
Cerebrovascular_Disease,1.2735976110814538,1.1548549199565348,1.4045494779668384,1.277055357210748e-6,1.154375987276894,1.4051322037447345,1.415203431744662e-6,0.2496945580103036,0.2507562164678405,1.0042518285780706,TRUE,TRUE,FALSE,base
Chronic_Pulmonary_Disease,0.89716625135656,0.8301907091498056,0.9695450379075959,0.006119221805902716,0.8312301706674482,0.9683326122858009,0.005332008992215213,0.1393543287577903,0.13710244161835272,0.9838405655603885,TRUE,TRUE,FALSE,base
Congestive_Heart_Failure,1.2447395524095677,1.1275780831162647,1.3740747328564513,1.4203708182756589e-5,1.1270154416406328,1.37476071408329,1.568211413947018e-5,0.2464966497401866,0.2477452724426572,1.0050654753473798,TRUE,TRUE,FALSE,base
Dementia,1.2442501563405814,1.0849141843006103,1.4269870133107176,0.0017736769737859578,1.0809104885280454,1.4322725775950254,0.002337601753191765,0.3420728290101074,0.35136208906697997,1.0271557962781022,TRUE,TRUE,FALSE,base
Diabetes_with_Chronic_Complications,1.010448154112929,0.9142844322404915,1.1167263010792057,0.8385831680434565,0.9151386504044509,1.1156839148898217,0.8370828799178734,0.20244186883871418,0.2005452644853708,0.9906313631452671,FALSE,FALSE,FALSE,base
Diabetes_without_Chronic_Complications,1.0592477008105008,0.9503931481159638,1.1805700555570806,0.2981706848194658,0.9541930034727726,1.1758687053759642,0.2800935654992948,0.23017690744111685,0.22167570190319164,0.9630666445542546,FALSE,FALSE,FALSE,base
f.age45-54,1.026397459230869,0.9137952297962733,1.1528750752512185,0.6603221451001182,0.9159837081007403,1.1501206134986406,0.6536444139326448,0.2390798454549452,0.23413690539790033,0.9793251495221651,FALSE,FALSE,FALSE,base
f.age55-64,1.311880992771692,1.1780406788352047,1.460927258384083,7.637237412250352e-7,1.1822576924851889,1.4557162538548678,3.1500588925565554e-7,0.2828865795488784,0.27345856136967894,0.9666720910046902,TRUE,TRUE,FALSE,base
f.age65+,1.4536536449527777,1.3020317906378056,1.6229318935825532,2.811919639298468e-11,1.3045938382567164,1.61974467264706,1.2266241795841466e-11,0.3209001029447476,0.3151508343903435,0.9820839304766631,TRUE,TRUE,FALSE,base
f.ethnicityHispanic,0.8661972967569945,0.7151204755493232,1.0491907064089865,0.14184916627469285,0.7214768108404147,1.0399471551069503,0.12354937404162915,0.33407023085966325,0.31847034426653564,0.9533035716681956,FALSE,FALSE,FALSE,base
f.ethnicityOther,0.9048459506244901,0.6875334309499714,1.1908456483785346,0.47550103773066243,0.6957648896961101,1.1767569857098445,0.4557413368638464,0.5033122174285631,0.4809920960137345,0.9556535274886375,FALSE,FALSE,FALSE,base
f.raceAsian,1.3412990458618181,1.003947935228148,1.7920083973487937,0.04696033276337536,1.0184057889943023,1.7665680516274926,0.036635628904965696,0.7880604621206457,0.7481622626331903,0.9493716517891398,TRUE,TRUE,FALSE,base
f.raceBlack,2.279864950036376,2.0809817208124826,2.4977558132394293,4.466971653458246e-70,2.0882517661346176,2.4890601194249387,1.327317723524359e-75,0.41677409242694674,0.40080835329032105,0.9616921026840837,TRUE,TRUE,FALSE,base
f.raceOther,1.5421993937035228,1.2710399478029333,1.871207096244835,1.1287117999439027e-5,1.2817368436683463,1.8555907023258889,4.4358400774406684e-06,0.6001671484419018,0.5738538586575426,0.9561567309162601,TRUE,TRUE,FALSE,base
f.sexFemale,0.770928878019172,0.7127338393605733,0.8338755677674875,8.211131799809154e-11,0.7137550016177366,0.8326825501983709,3.655961750555348e-11,0.12114172840691417,0.11892754858063426,0.9817224018891121,TRUE,TRUE,FALSE,base
f.sexOther,0.6097573362832547,0.42021149129383306,0.8848020981207911,0.009205338743580928,0.4203837192480085,0.884439601553412,0.009128544084062289,0.4645906068269581,0.46405588230540346,0.9988490414707119,TRUE,TRUE,FALSE,base
f.vaccVaccinated,0.44918670124736443,0.39665892860955737,0.5086704925180083,1.7822640270318157e-36,0.39645387113430886,0.5089335916942901,3.453552184364291e-36,0.11201156390845096,0.11247972055998123,1.004179538569008,TRUE,TRUE,FALSE,base
