variable,AOR,CI_exact_lower,CI_exact_upper,CI_robust_lower,CI_robust_upper,CI_ratio,flip
f.sexFemale,0.76,0.7,0.82,0.7,0.82,1,
f.sexOther,0.63,0.44,0.92,0.43,0.92,1.02,
f.age45-54,1.03,0.91,1.15,0.92,1.15,0.96,
f.age55-64,1.36,1.22,1.51,1.22,1.51,1,
f.age65+,1.45,1.3,1.62,1.3,1.61,0.97,
f.vaccVaccinated,0.45,0.39,0.51,0.39,0.51,1,
f.wavedelta,1.26,1.13,1.4,1.13,1.39,0.96,
f.waveomicron,0.99,0.91,1.08,0.91,1.08,1,
f.raceAsian,1.3,0.98,1.74,0.99,1.71,0.95,
f.raceBlack,2.26,2.06,2.48,2.07,2.47,0.95,
f.raceOther,1.4,1.17,1.69,1.18,1.68,0.96,
f.ethHispanic,0.96,0.8,1.16,0.81,1.15,0.94,
f.ethOther,1.04,0.79,1.36,0.8,1.35,0.96,
Myocardial_Infarction,1,0.89,1.12,0.89,1.12,1,
Congestive_Heart_Failure,1.27,1.15,1.4,1.15,1.4,1,
Peripheral_Vascular_Disease,0.96,0.87,1.06,0.87,1.06,1,
Cerebrovascular_Disease,1.25,1.13,1.38,1.13,1.38,1,
Dementia,1.29,1.13,1.48,1.12,1.49,1.06,
Chronic_Pulmonary_Disease,0.89,0.83,0.97,0.83,0.96,0.93,
Rheumatic_Disease,0.9,0.8,1.01,0.8,1.02,1.05,
Peptic_Ulcer_Disease,1,0.88,1.14,0.88,1.14,1,
Liver_Disease_Mild,0.82,0.75,0.9,0.75,0.9,1,
Liver_Disease_Moderate_Severe,1.29,1.07,1.56,1.06,1.57,1.04,
Diabetes_without_Chronic_Complications,1.05,0.94,1.17,0.94,1.16,0.96,
Diabetes_with_Chronic_Complications,1,0.91,1.11,0.91,1.11,1,
Hemiplegia_Paraplegia,1.08,0.92,1.26,0.91,1.27,1.06,
Renal_Disease_Mild_Moderate,1.08,0.97,1.21,0.97,1.21,1,
Renal_Disease_Severe,1.25,1.09,1.43,1.09,1.43,1,
HIV,1.04,0.71,1.5,0.73,1.46,0.92,
Metastatic_Solid_Tumor,1.31,1.11,1.55,1.11,1.55,1,
Malignancy,1.06,0.96,1.17,0.96,1.17,1,
AIDS,0.74,0.56,0.98,0.55,0.99,1.05,
