variable,AOR,CI_lower,CI_upper,p_value,model,cohort,wave
f.incomeless_10k,1.4505611855682607,1.1832587883345194,1.778248151479049,3.4453100454695095e-4,income_wave_pre_delta,aou_v7,pre_delta
f.income10k_25k,1.215105544402756,0.9930399591536353,1.4868298807398632,0.058468493785764304,income_wave_pre_delta,aou_v7,pre_delta
f.income25k_35k,0.9520618157470269,0.7435009339036578,1.2191265130555695,0.6969725151694586,income_wave_pre_delta,aou_v7,pre_delta
f.income100k_150k,1.446974979317937,1.093910931119518,1.9139918353584742,0.00962681708828005,income_wave_pre_delta,aou_v7,pre_delta
f.income150k_200k,0.7527088423781092,0.48398764343313205,1.170630302408683,0.20738325635015736,income_wave_pre_delta,aou_v7,pre_delta
f.incomemore_200k,1.1101906195691484,0.7761315369580661,1.5880339260662233,0.567083132437496,income_wave_pre_delta,aou_v7,pre_delta
f.incomeMissing,1.8773892278897077,1.5677719427118442,2.248152436571657,7.38028491517453e-12,income_wave_pre_delta,aou_v7,pre_delta
f.incomeless_10k,2.0611761065292167,1.0841017904735952,3.918863504755384,0.027360863016678463,income_wave_delta,aou_v7,delta
f.income10k_25k,2.144671844990252,1.0845304330445988,4.2411141103541015,0.028288390689076005,income_wave_delta,aou_v7,delta
f.income25k_35k,1.5472454624662362,0.7807549041050256,3.0662228421946933,0.21101628826537416,income_wave_delta,aou_v7,delta
f.income100k_150k,1.202807284109173,0.5859883426435487,2.4688978558505674,0.6147531252678761,income_wave_delta,aou_v7,delta
f.income150k_200k,1.7805039558468847,0.6235769774546323,5.0838861141518805,0.28116073212925935,income_wave_delta,aou_v7,delta
f.incomemore_200k,0.5535288334784966,0.1489817602165539,2.0565884645657495,0.3771141948138626,income_wave_delta,aou_v7,delta
f.incomeMissing,1.4987307053964183,0.8623346499881898,2.6047819455344956,0.151346795282345,income_wave_delta,aou_v7,delta
f.incomeless_10k,1.6127483593830585,1.2168968010982457,2.1373688124953496,8.805546807916765e-4,income_wave_omicron,aou_v7,omicron
f.income10k_25k,1.4969411778102586,1.131656401192455,1.980135390444257,0.004704841314279374,income_wave_omicron,aou_v7,omicron
f.income25k_35k,1.1770407036027466,0.8442281614125958,1.641054967438543,0.33638291756206057,income_wave_omicron,aou_v7,omicron
f.income100k_150k,1.1077182069663747,0.8157080259782886,1.5042632743170532,0.5122958752234462,income_wave_omicron,aou_v7,omicron
f.income150k_200k,1.3075013142772356,0.8792420567366092,1.9443561346256482,0.18539362618338193,income_wave_omicron,aou_v7,omicron
f.incomemore_200k,1.2404656706143906,0.8424213488927461,1.8265860450893185,0.2750695326383555,income_wave_omicron,aou_v7,omicron
f.incomeMissing,1.593158292668386,1.235236865119165,2.0547907993769177,3.341233337048141e-4,income_wave_omicron,aou_v7,omicron
