panel,cohort,variable,abs_smd_pre,abs_smd_post,aou_aor,marketscan_aor
b,All of Us,Survey date,0.095,0.015,,
b,All of Us,Number of diagnoses,0.410,0.003,,
b,All of Us,Length of EHR history,0.041,0.012,,
b,MarketScan,Enrollment date,0.241,0.063,,
b,MarketScan,Number of diagnoses,0.199,0.012,,
b,MarketScan,Coverage span,0.400,0.045,,
c,All of Us vs MarketScan,Female sex,,,0.768,0.745
c,All of Us vs MarketScan,Age 45–54,,,1.046,1.750
c,All of Us vs MarketScan,Age 55–64,,,1.328,2.394
c,All of Us vs MarketScan,Age ≥65,,,1.506,2.519
c,All of Us vs MarketScan,Vaccinated before index,,,0.427,0.503
c,All of Us vs MarketScan,Delta wave,,,1.234,1.112
c,All of Us vs MarketScan,Omicron wave,,,1.000,0.729
c,All of Us vs MarketScan,Myocardial infarction,,,1.060,1.048
c,All of Us vs MarketScan,Congestive heart failure,,,1.193,1.657
c,All of Us vs MarketScan,Peripheral vascular disease,,,0.961,1.058
c,All of Us vs MarketScan,Cerebrovascular disease,,,1.193,1.061
c,All of Us vs MarketScan,Dementia,,,1.135,1.607
c,All of Us vs MarketScan,Chronic pulmonary disease,,,0.904,1.164
c,All of Us vs MarketScan,Rheumatic disease,,,1.038,1.091
c,All of Us vs MarketScan,Peptic ulcer disease,,,0.964,1.006
c,All of Us vs MarketScan,"Liver disease, mild",,,0.827,1.060
c,All of Us vs MarketScan,"Liver disease, mod./severe",,,1.464,1.990
c,All of Us vs MarketScan,Diabetes w/o complications,,,1.098,1.806
c,All of Us vs MarketScan,Diabetes w/ complications,,,1.154,2.019
c,All of Us vs MarketScan,Hemiplegia or paraplegia,,,1.364,2.176
c,All of Us vs MarketScan,"Renal disease, mild/mod.",,,1.122,1.583
c,All of Us vs MarketScan,"Renal disease, severe",,,1.488,3.313
c,All of Us vs MarketScan,HIV,,,1.107,1.247
c,All of Us vs MarketScan,Metastatic solid tumor,,,1.295,2.626
c,All of Us vs MarketScan,Malignancy,,,1.102,1.222
c,All of Us vs MarketScan,AIDS,,,0.770,1.686
