block,level,wave,aor,lo,hi,omnibus_interaction
Income,"Below $10,000",Pre-Delta,1.361,1.104,1.678,"chi-square 19.32, 14 df, P = 0.15"
Income,"Below $10,000",Delta,1.423,0.731,2.770,"chi-square 19.32, 14 df, P = 0.15"
Income,"Below $10,000",Omicron,1.636,1.218,2.198,"chi-square 19.32, 14 df, P = 0.15"
Income,"$10,000–24,999",Pre-Delta,1.305,1.061,1.606,"chi-square 19.32, 14 df, P = 0.15"
Income,"$10,000–24,999",Delta,1.265,0.656,2.439,"chi-square 19.32, 14 df, P = 0.15"
Income,"$10,000–24,999",Omicron,1.400,1.062,1.846,"chi-square 19.32, 14 df, P = 0.15"
Insurance,Medicaid,Pre-Delta,1.518,1.217,1.894,"chi-square 25.50, 8 df, P = 0.001"
Insurance,Medicaid,Delta,0.875,0.411,1.864,"chi-square 25.50, 8 df, P = 0.001"
Insurance,Medicaid,Omicron,0.987,0.729,1.337,"chi-square 25.50, 8 df, P = 0.001"
Race,Black race,Pre-Delta,2.310,2.030,2.628,"chi-square 12.78, 6 df, P = 0.047"
Race,Black race,Delta,2.245,1.812,2.781,"chi-square 12.78, 6 df, P = 0.047"
Race,Black race,Omicron,1.794,1.541,2.089,"chi-square 12.78, 6 df, P = 0.047"
