level,reference,pathogen,aor,lo,hi,significant
Unemployed,employed,COVID-19,1.342,1.192,1.511,True
Unemployed,employed,Influenza,1.471,1.233,1.756,True
"Income <$10,000","$35,000–99,999",COVID-19,1.215,1.049,1.406,True
"Income <$10,000","$35,000–99,999",Influenza,1.549,1.243,1.930,True
"Income $10,000–24,999","$35,000–99,999",COVID-19,1.206,1.054,1.381,True
"Income $10,000–24,999","$35,000–99,999",Influenza,1.825,1.479,2.253,True
Renting,owns home,COVID-19,1.163,1.055,1.281,True
Renting,owns home,Influenza,1.212,1.035,1.418,True
Medicaid,employer insurance,COVID-19,1.188,1.043,1.354,True
Medicaid,employer insurance,Influenza,0.990,0.810,1.210,False
Below GED,higher attainment,COVID-19,1.057,0.916,1.219,False
Below GED,higher attainment,Influenza,0.908,0.758,1.089,False
Housing instability,stable housing,COVID-19,0.907,0.817,1.005,False
Housing instability,stable housing,Influenza,0.988,0.849,1.148,False
