days_from_index,qualifying_visits,counted_by_phenotype
-30,86,no
-29,96,no
-28,103,no
-27,89,no
-26,82,no
-25,105,no
-24,116,no
-23,173,no
-22,140,no
-21,124,no
-20,115,no
-19,116,no
-18,165,no
-17,149,no
-16,119,no
-15,134,no
-14,128,no
-13,98,no
-12,123,no
-11,117,no
-10,72,no
-9,104,no
-8,100,no
-7,85,no
-6,110,no
-5,147,no
-4,131,no
-3,189,no
-2,251,no
-1,570,no
0,5582,yes
1,1064,yes
2,736,yes
3,672,yes
4,592,yes
5,543,yes
6,464,yes
7,530,yes
8,430,yes
9,418,yes
10,386,yes
11,379,yes
12,429,yes
13,319,yes
14,327,yes
15,292,no
16,242,no
17,247,no
18,257,no
19,193,no
20,219,no
21,209,no
22,199,no
23,245,no
24,209,no
25,165,no
26,178,no
27,153,no
28,154,no
29,136,no
30,132,no
