pathogen,cdr,period,kind,domain,domain_label,level,level_label,aor,lo,hi,p,sig
Influenza,v9 C2025Q4R6,ALL,domain,education,Education,Advanced,Advanced degree,0.808,0.71,0.921,0.00138,True
Influenza,v9 C2025Q4R6,ALL,joint,education,Education,Advanced,Advanced degree,0.978,0.847,1.13,0.765,False
Influenza,v9 C2025Q4R6,ALL,domain,education,Education,Below_GED,Below GED,1.037,0.868,1.238,0.687,False
Influenza,v9 C2025Q4R6,ALL,joint,education,Education,Below_GED,Below GED,0.908,0.758,1.089,0.298,False
Influenza,v9 C2025Q4R6,ALL,domain,education,Education,Missing,Missing,0.899,0.647,1.249,0.527,False
Influenza,v9 C2025Q4R6,ALL,joint,education,Education,Missing,Missing,0.854,0.612,1.193,0.355,False
Influenza,v9 C2025Q4R6,ALL,domain,employment,Employment,Missing,Missing,1.424,1.05,1.931,0.0228,True
Influenza,v9 C2025Q4R6,ALL,joint,employment,Employment,Missing,Missing,1.186,0.854,1.648,0.309,False
Influenza,v9 C2025Q4R6,ALL,domain,employment,Employment,Others,Not employed (other),1.386,1.165,1.648,0.000224,True
Influenza,v9 C2025Q4R6,ALL,joint,employment,Employment,Others,Not employed (other),1.278,1.06,1.541,0.0103,True
Influenza,v9 C2025Q4R6,ALL,domain,employment,Employment,Student,Student,1.64,1.092,2.462,0.017,True
Influenza,v9 C2025Q4R6,ALL,joint,employment,Employment,Student,Student,1.46,0.971,2.196,0.069,False
Influenza,v9 C2025Q4R6,ALL,domain,employment,Employment,Unemployed,Unemployed,1.777,1.528,2.067,8.9e-14,True
Influenza,v9 C2025Q4R6,ALL,joint,employment,Employment,Unemployed,Unemployed,1.471,1.233,1.756,1.91e-05,True
Influenza,v9 C2025Q4R6,ALL,domain,housing,Housing tenure,Missing,Missing,1.4,1.08,1.814,0.011,True
Influenza,v9 C2025Q4R6,ALL,joint,housing,Housing tenure,Missing,Missing,1.034,0.773,1.382,0.824,False
Influenza,v9 C2025Q4R6,ALL,domain,housing,Housing tenure,Others,Other arrangement,1.596,1.298,1.963,9.45e-06,True
Influenza,v9 C2025Q4R6,ALL,joint,housing,Housing tenure,Others,Other arrangement,1.198,0.957,1.5,0.115,False
Influenza,v9 C2025Q4R6,ALL,domain,housing,Housing tenure,Rent,Renting,1.507,1.309,1.735,1.19e-08,True
Influenza,v9 C2025Q4R6,ALL,joint,housing,Housing tenure,Rent,Renting,1.212,1.035,1.418,0.0166,True
Influenza,v9 C2025Q4R6,ALL,domain,housing_stability,Housing stability,Missing,Missing,1.904,1.26,2.878,0.00224,True
Influenza,v9 C2025Q4R6,ALL,joint,housing_stability,Housing stability,Missing,Missing,1.867,1.208,2.886,0.00497,True
