pathogen,cdr,period,kind,domain,domain_label,level,level_label,aor,lo,hi,p,sig
Influenza,v9 C2025Q4R6,1_pre,joint,employment,Employment,Unemployed,Unemployed,1.093,0.797,1.499,0.581,False
Influenza,v9 C2025Q4R6,2_pandemic,joint,employment,Employment,Unemployed,Unemployed,1.835,0.938,3.59,0.0762,False
Influenza,v9 C2025Q4R6,3_post,joint,employment,Employment,Unemployed,Unemployed,1.557,1.238,1.959,0.000157,True
Influenza,v9 C2025Q4R6,1_pre,joint,income,Income,less_10k,<$10000,1.674,1.118,2.509,0.0125,True
Influenza,v9 C2025Q4R6,2_pandemic,joint,income,Income,less_10k,<$10000,1.327,0.633,2.782,0.454,False
Influenza,v9 C2025Q4R6,3_post,joint,income,Income,less_10k,<$10000,1.503,1.126,2.006,0.00566,True
Influenza,v9 C2025Q4R6,1_pre,joint,income,Income,10k_25k,"$10,000-24,999",2.184,1.479,3.227,8.69e-05,True
Influenza,v9 C2025Q4R6,2_pandemic,joint,income,Income,10k_25k,"$10,000-24,999",2.658,1.35,5.234,0.00469,True
Influenza,v9 C2025Q4R6,3_post,joint,income,Income,10k_25k,"$10,000-24,999",1.654,1.25,2.19,0.000435,True
Influenza,v9 C2025Q4R6,1_pre,joint,income,Income,Missing,Missing,1.623,1.146,2.297,0.00635,True
Influenza,v9 C2025Q4R6,2_pandemic,joint,income,Income,Missing,Missing,2.049,1.024,4.099,0.0426,True
Influenza,v9 C2025Q4R6,3_post,joint,income,Income,Missing,Missing,1.306,1.017,1.678,0.0365,True
Influenza,v9 C2025Q4R6,1_pre,joint,housing,Housing tenure,Rent,Renting,0.779,0.578,1.049,0.0996,False
Influenza,v9 C2025Q4R6,2_pandemic,joint,housing,Housing tenure,Rent,Renting,1.076,0.636,1.82,0.784,False
Influenza,v9 C2025Q4R6,3_post,joint,housing,Housing tenure,Rent,Renting,1.488,1.215,1.821,0.00012,True
Influenza,v9 C2025Q4R6,1_pre,joint,insurance_type,Insurance,Medicaid,Medicaid,1.611,1.106,2.346,0.0129,True
Influenza,v9 C2025Q4R6,2_pandemic,joint,insurance_type,Insurance,Medicaid,Medicaid,1.716,0.833,3.533,0.143,False
Influenza,v9 C2025Q4R6,3_post,joint,insurance_type,Insurance,Medicaid,Medicaid,0.823,0.637,1.064,0.138,False
Influenza,v9 C2025Q4R6,1_pre,joint,education,Education,Below_GED,Below GED,0.841,0.602,1.174,0.308,False
Influenza,v9 C2025Q4R6,2_pandemic,joint,education,Education,Below_GED,Below GED,1.287,0.702,2.357,0.414,False
Influenza,v9 C2025Q4R6,3_post,joint,education,Education,Below_GED,Below GED,0.89,0.699,1.133,0.344,False
Influenza,v9 C2025Q4R6,1_pre,joint,housing_stability,Housing stability,Unstable,Housing unstable,0.966,0.721,1.293,0.814,False
Influenza,v9 C2025Q4R6,2_pandemic,joint,housing_stability,Housing stability,Unstable,Housing unstable,0.689,0.413,1.147,0.151,False
Influenza,v9 C2025Q4R6,3_post,joint,housing_stability,Housing stability,Unstable,Housing unstable,1.043,0.859,1.265,0.672,False
