group,variable,smd,abs_smd
Demographics,sex_at_birth: Female,-0.39345380134679997,0.39345380134679997
Demographics,sex_at_birth: Male,0.39345380134679997,0.39345380134679997
Demographics,age_group: <45,-0.2658353685236506,0.2658353685236506
Demographics,age_group: 45-54,0.08159583376934118,0.08159583376934118
Demographics,age_group: 55-64,0.20909003406894086,0.20909003406894086
Demographics,age_group: 65+,0.01371842004993476,0.01371842004993476
Clinical,Vaccinated,-0.33931979516652716,0.33931979516652716
Clinical,Wave: pre_delta,0.159336602438178,0.159336602438178
Clinical,Wave: delta,0.27186962572152995,0.27186962572152995
Clinical,Wave: omicron,-0.39953523217558057,0.39953523217558057
Comorbidities,Myocardial Infarction,0.19398989778430645,0.19398989778430645
Comorbidities,Congestive Heart Failure,0.2641298923520771,0.2641298923520771
Comorbidities,Peripheral Vascular Disease,0.10868375504225199,0.10868375504225199
Comorbidities,Cerebrovascular Disease,0.05907644479132766,0.05907644479132766
Comorbidities,Dementia,0.09052394479867555,0.09052394479867555
Comorbidities,Chronic Pulmonary Disease,0.03805021382888328,0.03805021382888328
Comorbidities,Rheumatic Disease,-0.057677695218025585,0.057677695218025585
Comorbidities,Peptic Ulcer Disease,-0.007940368765837163,0.007940368765837163
Comorbidities,Liver Disease Mild,0.06246868600384331,0.06246868600384331
Comorbidities,Liver Disease Moderate Severe,0.06307260103512871,0.06307260103512871
Comorbidities,Diabetes without Chronic Complications,0.2199383601346233,0.2199383601346233
Comorbidities,Diabetes with Chronic Complications,0.24360002762702346,0.24360002762702346
Comorbidities,Hemiplegia Paraplegia,0.10290497291361013,0.10290497291361013
Comorbidities,Renal Disease Mild Moderate,0.16414410859640666,0.16414410859640666
Comorbidities,Renal Disease Severe,0.1796246599693255,0.1796246599693255
Comorbidities,HIV,0.0029947992738534163,0.0029947992738534163
Comorbidities,Metastatic Solid Tumor,0.052436824082791045,0.052436824082791045
Comorbidities,Malignancy,0.013497459890404651,0.013497459890404651
Comorbidities,AIDS,0.025264045282867673,0.025264045282867673
