variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.4977630752831827,0.4912425652462886,0.5043701353345689,0,base,ms
f.sexOther,NA,NA,NA,NA,base,ms
f.age45-54,1.458815061742464,1.4353576537510417,1.4826558236584209,0,base,ms
f.age55-64,1.7767181891419104,1.7478977835379912,1.8060138031859323,0,base,ms
f.age65+,1.7296246219977147,1.5125551101559762,1.9778461709816582,1.1667838194625951e-15,base,ms
f.vaccVaccinated,0.484307389324066,0.4731334459265865,0.49574522658093123,0,base,ms
f.wavedelta,1.4686834699205837,1.4437000605792074,1.4940992202719539,0,base,ms
f.waveomicron,0.4740220845073767,0.4651047493477276,0.4831103894678309,0,base,ms
f.planHMO,1.1027978583823626,1.07758005983072,1.1286058101741192,1.1253013375551764e-16,base,ms
f.planPOS,0.9940338850892261,0.9678974072538695,1.0208761355287022,0.6598088137507045,base,ms
f.planHDHP,1.087672695019852,1.0622705345179364,1.1136822994234836,3.1633160348270927e-12,base,ms
f.planCDHP,1.1268605582692461,0.9217737428063516,1.3775774453250431,0.24390701410510238,base,ms
f.planEPO,0.9222667020699017,0.8641967692696227,0.9842386595193574,0.014736117181133487,base,ms
f.planComprehensive,1.1589827682442424,1.1060172230883174,1.2144847557946457,6.323535753692166e-10,base,ms
f.planBasic,2.7390502391319758,1.4507140678394534,5.171519583912384,0.0018874749685981547,base,ms
f.planUnknown,1.045196892358467,1.0229202791048602,1.0679586338358342,5.7780203224589086e-5,base,ms
f.regionNorthCentral,1.0408629414704906,1.021752583639973,1.0603307300354718,2.2742826123748318e-5,base,ms
f.regionWest,1.0777794124882771,1.0546755887949681,1.101389350739392,1.2448691887453894e-11,base,ms
f.regionNortheast,0.8066094532336973,0.7889529381635043,0.8246611154785108,9.258511020516882e-81,base,ms
f.regionUnknown,1.2625566354216264,1.0929976746752796,1.4584196239216671,0.0015319929780341743,base,ms
Myocardial_Infarction,0.9400943289156092,0.8940245882382629,0.988538077012886,0.01596646139811022,base,ms
Congestive_Heart_Failure,1.3603834447518164,1.3128335519067984,1.4096555607273211,1.781005051826054e-64,base,ms
Peripheral_Vascular_Disease,0.8599180329770477,0.8307542725420578,0.8901055918453661,1.0069015836830746e-17,base,ms
Cerebrovascular_Disease,0.8590648205517863,0.8269889276004099,0.8923848207388104,5.0977535523194765e-15,base,ms
Dementia,1.266448620710213,1.1562603202842512,1.3871375509145776,3.651030294721754e-7,base,ms
Chronic_Pulmonary_Disease,0.8554616131009546,0.8395983529195802,0.8716245916211119,4.541255402957765e-60,base,ms
Rheumatic_Disease,0.8204320132606969,0.7893024268112647,0.8527893308301607,1.1381746217336377e-23,base,ms
Peptic_Ulcer_Disease,0.7854774093451767,0.7343550546844366,0.8401586625651178,2.031252900647174e-12,base,ms
Liver_Disease_Mild,0.7849997328868654,0.7637591497320619,0.8068310289292517,4.99030462163479e-67,base,ms
Liver_Disease_Moderate_Severe,1.4343361008246742,1.314628240822299,1.5649443593590215,4.965190428026905e-16,base,ms
Diabetes_without_Chronic_Complications,1.4107912278704375,1.3834769652992707,1.4386447613933584,7.584626669213403e-261,base,ms
Diabetes_with_Chronic_Complications,1.4637286756604402,1.4243186275441198,1.5042291763359668,8.345879845131105e-165,base,ms
Hemiplegia_Paraplegia,1.7079060204515306,1.594749662454345,1.8290914513851424,7.1635496133852815e-53,base,ms
Renal_Disease_Mild_Moderate,1.2903672281698695,1.2464060711987115,1.3358789097789443,4.172259404573131e-47,base,ms
Renal_Disease_Severe,2.446247349637703,2.3116739100280568,2.5886549437835105,8.14543687962075e-211,base,ms
HIV,0.8554175110770273,0.7649238916037129,0.9566168952091133,0.006191549355858529,base,ms
Metastatic_Solid_Tumor,1.6772834204815925,1.590141159496232,1.7692012157673458,1.7281369172879133e-80,base,ms
Malignancy,0.9444818263502395,0.9124740266473561,0.9776123969067592,0.0011654917967347563,base,ms
AIDS,1.2732199950612402,1.0256366301307631,1.5805687006489468,0.02856440218938947,base,ms
