variable,AOR,CI_lower,CI_upper,p_value,model,cohort
f.sexFemale,0.4974365037389125,0.4909248958075476,0.5040344813741037,0,base,ms
f.sexOther,NA,NA,NA,NA,base,ms
f.age45-54,1.4583086892093535,1.4348747194078877,1.4821253760057098,0,base,ms
f.age55-64,1.775829744819136,1.7470458938571258,1.8050878306476235,0,base,ms
f.age65+,1.732305816977129,1.514821240593604,1.9810148967523458,9.952786286410732e-16,base,ms
f.vaccVaccinated,0.48219527832888964,0.47107955772804055,0.4935732884781795,0,base,ms
f.wavedelta,1.469409360463422,1.4444183112102067,1.4948328000691613,0,base,ms
f.waveomicron,0.4699064318927296,0.4610695174233239,0.478912715740046,0,base,ms
f.planHMO,1.1031492292845548,1.077945603374185,1.128942145375284,8.421276888387333e-17,base,ms
f.planPOS,0.9941454862005158,0.9680180562352132,1.020978112305699,0.6656543540329618,base,ms
f.planHDHP,1.0878358763533111,1.062442294447526,1.113836393812562,2.8251076604248665e-12,base,ms
f.planCDHP,1.12178194983407,0.9180516580020432,1.3707232398143845,0.2610807581004566,base,ms
f.planEPO,0.9197802761038089,0.8619022488654584,0.9815448995790442,0.0116771890033946,base,ms
f.planComprehensive,1.1619436789059385,1.1088609678474233,1.2175675328985331,3.1490313874079546e-10,base,ms
f.planBasic,2.7592080832172914,1.4623934992579135,5.206005941871968,0.001728026777811045,base,ms
f.planUnknown,1.0458353465614494,1.0235561410186147,1.0685994917961372,4.5173108382640423e-5,base,ms
f.regionNorthCentral,1.0402900904860792,1.0212017681211851,1.059735212126181,2.909663749746728e-5,base,ms
f.regionWest,1.0778673118159516,1.0547723414601207,1.1014679625302553,1.157088866734017e-11,base,ms
f.regionNortheast,0.8054329108171576,0.7878127177559555,0.8234471965307333,6.231097519948218e-82,base,ms
f.regionUnknown,1.2555166636587205,1.0872886466165148,1.4497733399773935,0.0019340128961609375,base,ms
Myocardial_Infarction,0.9372535030716531,0.8913910497400228,0.985475599375029,0.011354931892127808,base,ms
Congestive_Heart_Failure,1.3573063174826954,1.3099270395132745,1.406399275613828,1.0038642793625438e-63,base,ms
Peripheral_Vascular_Disease,0.8578598058235747,0.8288063291085236,0.8879317406265844,2.742272472080429e-18,base,ms
Cerebrovascular_Disease,0.8570059057886082,0.8250495409155912,0.8902000257360225,1.735986786264243e-15,base,ms
Dementia,1.2688533665191228,1.1585711814058368,1.3896331028822195,2.855116140804717e-7,base,ms
Chronic_Pulmonary_Disease,0.8534208033861834,0.8376076578891967,0.8695324843229476,5.8519813034702445e-62,base,ms
Rheumatic_Disease,0.8180989121062269,0.7870944427665989,0.8503246797638218,2.3039750341548187e-24,base,ms
Peptic_Ulcer_Disease,0.7806184879133549,0.7298742967611446,0.8348906467541366,5.117431236258333e-13,base,ms
Liver_Disease_Mild,0.781473230208569,0.7603525183341454,0.8031806232069791,1.2366078695963023e-69,base,ms
Liver_Disease_Moderate_Severe,1.4348831194188671,1.31526631328759,1.5653784679141496,4.27104776903065e-16,base,ms
Diabetes_without_Chronic_Complications,1.4080568510849416,1.3808209319129565,1.4358299835015977,2.0247237603620756e-258,base,ms
Diabetes_with_Chronic_Complications,1.4611545158728605,1.4218544419176256,1.5015408443470912,1.2117492664002947e-163,base,ms
Hemiplegia_Paraplegia,1.7041174588273806,1.5914154969243468,1.824800826115332,1.2264383911585547e-52,base,ms
Renal_Disease_Mild_Moderate,1.2890982775505366,1.2452374341371995,1.3345040260014116,7.086282877998173e-47,base,ms
Renal_Disease_Severe,2.440683862558214,2.3066370996730714,2.5825205524511774,1.854432805398885e-210,base,ms
HIV,0.856958456270361,0.7663035096829712,0.9583380298977112,0.006810612468914171,base,ms
Metastatic_Solid_Tumor,1.6742231951880797,1.58733423426994,1.7658683639460298,4.145417332879201e-80,base,ms
Malignancy,0.9417621338657551,0.909883137618319,0.9747580542100641,6.375384845189379e-4,base,ms
AIDS,1.2813820244902423,1.0323677070240995,1.5904603384193052,0.024516247212953958,base,ms
