Group,Variable,Post-matching SMD,Abs SMD
Demographics,Female sex,-0.38427104927764427,0.38427104927764427
Demographics,Male sex,0.38427104927764444,0.38427104927764444
Demographics,Other sex,0.0,0.0
Demographics,Age <45,-0.2708996538866789,0.2708996538866789
Demographics,Age 45–54,0.08560125016936859,0.08560125016936859
Demographics,Age 55–64,0.21101035521162334,0.21101035521162334
Demographics,Age ≥65,0.012948922502935147,0.012948922502935147
Clinical,Vaccinated before index,-0.37317005140061,0.37317005140061
Clinical,Wave: Pre-Delta,0.1845121523121192,0.1845121523121192
Clinical,Wave: Delta,0.2876823950295812,0.2876823950295812
Clinical,Wave: Omicron,-0.43675577958964085,0.43675577958964085
Comorbidities,Myocardial Infarction,0.20886161848104595,0.20886161848104595
Comorbidities,Congestive Heart Failure,0.2710548281737745,0.2710548281737745
Comorbidities,Peripheral Vascular Disease,0.11227382506669266,0.11227382506669266
Comorbidities,Cerebrovascular Disease,0.06401118161342474,0.06401118161342474
Comorbidities,Dementia,0.09379649866095656,0.09379649866095656
Comorbidities,Chronic Pulmonary Disease,0.028089865706104528,0.028089865706104528
Comorbidities,Rheumatic Disease,-0.037912684049519106,0.037912684049519106
Comorbidities,Peptic Ulcer Disease,-0.012727913999748909,0.012727913999748909
Comorbidities,Liver Disease Mild,0.06607521138017955,0.06607521138017955
Comorbidities,Liver Disease Moderate Severe,0.06324545465333137,0.06324545465333137
Comorbidities,Diabetes without Chronic Complications,0.22366950877314357,0.22366950877314357
Comorbidities,Diabetes with Chronic Complications,0.2599943450909248,0.2599943450909248
Comorbidities,Hemiplegia Paraplegia,0.07983266234077718,0.07983266234077718
Comorbidities,Renal Disease Mild Moderate,0.16794626134119706,0.16794626134119706
Comorbidities,Renal Disease Severe,0.17198247303890926,0.17198247303890926
Comorbidities,HIV,0.018460783611852657,0.018460783611852657
Comorbidities,Metastatic Solid Tumor,0.03877952065902045,0.03877952065902045
Comorbidities,Malignancy,0.006129139873972819,0.006129139873972819
Comorbidities,AIDS,0.016771530959396864,0.016771530959396864
