condition,n_all_records,n_pre_index,n_lost
Myocardial_Infarction,52863,26186,26677
Congestive_Heart_Failure,87964,47761,40203
Peripheral_Vascular_Disease,126002,65588,60414
Cerebrovascular_Disease,112436,57887,54549
Dementia,12250,5527,6723
Chronic_Pulmonary_Disease,748612,432898,315714
Rheumatic_Disease,98737,67151,31586
Peptic_Ulcer_Disease,39827,19692,20135
Liver_Disease_Mild,290467,152011,138456
Liver_Disease_Moderate_Severe,9320,5005,4315
Diabetes_without_Chronic_Complications,359605,274297,85308
Diabetes_with_Chronic_Complications,158500,100053,58447
Hemiplegia_Paraplegia,20167,10678,9489
Renal_Disease_Mild_Moderate,95034,56712,38322
Renal_Disease_Severe,18219,10545,7674
HIV,10294,8723,1571
Metastatic_Solid_Tumor,26460,15607,10853
Malignancy,110818,76850,33968
AIDS,3022,1499,1523
