Variable,Cases_n,Cases_pct,Controls_n,Controls_pct
N,"139,472",,"557,888",
  Female,"67,916",(48.7),"377,888",(67.7)
  Male,"71,556",(51.3),"180,000",(32.3)
  Other,<20,,<20,
Age group,,,,
  <45,"53,371",(38.3),"286,595",(51.4)
  45-54,"37,835",(27.1),"131,553",(23.6)
  55-64,"47,908",(34.3),"138,670",(24.9)
  65+,358,(0.3),"1,070",(0.2)
  Mean age (SD),45.6,(14.6),41.2,(15.9)
Vaccination,,,,
  Vaccinated,"11,300",(8.1),"109,739",(19.7)
  Unknown,"128,172",(91.9),"448,149",(80.3)
Plan type,,,,
  PPO,"67,582",(48.5),"273,528",(49.0)
  HMO,"17,979",(12.9),"67,923",(12.2)
  POS,"13,856",(9.9),"59,346",(10.6)
  HDHP,"16,552",(11.9),"63,893",(11.5)
  CDHP,190,(0.1),676,(0.1)
  EPO,"1,560",(1.1),"6,716",(1.2)
  Comprehensive,"3,426",(2.5),"11,532",(2.1)
  Basic,<20,,24,(0.0)
  Unknown,"18,308",(13.1),"74,250",(13.3)
Region,,,,
  South,"73,447",(52.7),"289,619",(51.9)
  NorthCentral,"28,439",(20.4),"107,334",(19.2)
  West,"18,113",(13.0),"68,418",(12.3)
  Northeast,"19,144",(13.7),"91,454",(16.4)
  Unknown,329,(0.2),"1,063",(0.2)
Charlson comorbidities,,,,
  Myocardial Infarction,"2,729",(2.0),"7,830",(1.4)
  Congestive Heart Failure,"6,614",(4.7),"15,288",(2.7)
  Peripheral Vascular Disease,"5,866",(4.2),"20,730",(3.7)
  Cerebrovascular Disease,"4,215",(3.0),"17,527",(3.1)
  Dementia,769,(0.6),"2,217",(0.4)
  Chronic Pulmonary Disease,"18,418",(13.2),"92,948",(16.7)
  Rheumatic Disease,"3,605",(2.6),"20,370",(3.7)
  Peptic Ulcer Disease,"1,174",(0.8),"6,464",(1.2)
  Liver Disease Mild,"7,881",(5.7),"39,486",(7.1)
  Liver Disease Moderate Severe,889,(0.6),"2,002",(0.4)
  Diabetes without Chronic Complications,"19,085",(13.7),"53,065",(9.5)
  Diabetes with Chronic Complications,"11,696",(8.4),"26,847",(4.8)
  Hemiplegia Paraplegia,"1,460",(1.0),"3,463",(0.6)
  Renal Disease Mild Moderate,"6,199",(4.4),"15,450",(2.8)
  Renal Disease Severe,"2,816",(2.0),"3,893",(0.7)
  HIV,444,(0.3),"1,616",(0.3)
  Metastatic Solid Tumor,"2,295",(1.6),"6,150",(1.1)
  Malignancy,"4,951",(3.5),"19,877",(3.6)
  AIDS,127,(0.1),394,(0.1)
