variable,AOR,CI_low_exact,CI_high_exact,P_exact,CI_low_efron,CI_high_efron,P_efron,ci_width_exact,ci_width_efron,ci_width_ratio,sig_exact,sig_efron,flip,model
AIDS,2.1295110879266326,1.8498029688329605,2.4515137828238447,6.886258255127443e-26,1.2964100430948289,3.4979808261719554,0.0028336711704246417,0.6017108139908842,2.2015707830771265,3.658851946627105,TRUE,TRUE,FALSE,base
Cerebrovascular_Disease,1.03371161960527,1.0057811296043173,1.062417737870396,0.01766911964416575,0.9256577632614991,1.1543788157104036,0.5561286812644542,0.05663660826607875,0.2287210524489045,4.038396003065246,TRUE,FALSE,TRUE,base
Chronic_Pulmonary_Disease,1.1509499212529373,1.1337083396441812,1.1684537150427068,1.8489671756199686e-74,1.0764520672391875,1.230603536885398,3.824949858756969e-5,0.034745375398525624,0.15415146964621051,4.436603947377462,TRUE,TRUE,FALSE,base
Congestive_Heart_Failure,1.8762327633489144,1.8275684585829608,1.9261928962121584,0,1.683799740438338,2.0906579908056573,4.3009958698529235e-30,0.09862443762919759,0.40685825036731926,4.125328976749162,TRUE,TRUE,FALSE,base
Dementia,2.165229669381321,2.0417073217791057,2.2962250618193005,1.5994877797690062e-146,1.8814737819868996,2.491780414935269,4.320790114849394e-27,0.2545177400401948,0.6103066329483695,2.3978942797935683,TRUE,TRUE,FALSE,base
Diabetes_with_Chronic_Complications,1.8677515590067013,1.824930409672151,1.9115774868361541,0,1.694911257197471,2.058217426639893,1.8628857770464917e-36,0.0866470771640031,0.3633061694424222,4.1929420048961,TRUE,TRUE,FALSE,base
Diabetes_without_Chronic_Complications,1.818476900678202,1.7863857114941877,1.8511445859775948,0,1.6626583442970788,1.9888982301401426,4.0685645150284727e-39,0.06475887448340711,0.32623988584306374,5.037763371360859,TRUE,TRUE,FALSE,base
f.age45-54,1.2613284141731729,1.2408365454107695,1.282158697118273,7.353681024383799e-170,1.1569153098465068,1.375164936326834,1.3926457652902985e-7,0.04132215170750353,0.21824962648032709,5.281661710774272,TRUE,TRUE,FALSE,base
f.age55-64,1.445144850025385,1.421479320633955,1.469204375497691,0,1.336610679576047,1.5624921074379827,2.377746003269467e-20,0.047725054863735794,0.22588142786193566,4.732973665653619,TRUE,TRUE,FALSE,base
f.age65+,1.3298106484894512,1.1615311888288467,1.5224699757042086,3.640102859272051e-5,1.1382374748092698,1.553626901216074,3.2883024119375595e-4,0.36093878687536196,0.4153894264068041,1.1508583768533716,TRUE,TRUE,FALSE,base
f.planBasic,4.335259729884609,2.2139495196966013,8.489117190049916,1.8850333425442046e-5,2.1790239146208563,8.625181577609878,2.9253384808490203e-5,6.275167670353314,6.446157662989021,1.027248673122081,TRUE,TRUE,FALSE,base
f.planCDHP,1.6605981388237134,1.3815186609574694,1.9960542384231137,6.564204781997415e-8,1.1108348825361078,2.4824447107467793,0.013420862694626596,0.6145355774656442,1.3716098282106715,2.2319453559828304,TRUE,TRUE,FALSE,base
f.planComprehensive,0.854237552603316,0.81881428104737,0.8911932939717343,3.075836042255616e-13,0.6792071595054544,1.0743729450805988,0.17805653874767416,0.07237901292436433,0.39516578557514437,5.459673593339694,TRUE,FALSE,TRUE,base
f.planEPO,1.107397843962603,1.0416404593180242,1.1773064053367477,0.0010899324613381847,0.8785929187604096,1.3957886054251702,0.387645835577437,0.1356659460187235,0.5171956866647607,3.8122734690795697,TRUE,FALSE,TRUE,base
f.planHDHP,0.9696137579301365,0.9494065919689227,0.990251013127762,0.004082233183822073,0.8671048326805265,1.0842412637247838,0.5883198569182198,0.04084442115883924,0.21713643104425728,5.316183333822721,TRUE,FALSE,TRUE,base
