Wave,Income,AOR (95% CI),P
Pre-Delta,"<$10,000",1.45 (1.18–1.78),<0.001
Pre-Delta,$10–25K,1.22 (0.99–1.49),0.06
Pre-Delta,$25–35K,0.95 (0.74–1.22),0.70
Pre-Delta,$100–150K,1.45 (1.09–1.91),0.010
Pre-Delta,$150–200K,0.75 (0.48–1.17),0.21
Pre-Delta,≥$200K,1.11 (0.78–1.59),0.57
Pre-Delta,Missing,1.88 (1.57–2.25),<0.001
Delta,"<$10,000",2.06 (1.08–3.92),0.03
Delta,$10–25K,2.14 (1.08–4.24),0.03
Delta,$25–35K,1.55 (0.78–3.07),0.21
Delta,$100–150K,1.20 (0.59–2.47),0.61
Delta,$150–200K,1.78 (0.62–5.08),0.28
Delta,≥$200K,0.55 (0.15–2.06),0.38
Delta,Missing,1.50 (0.86–2.60),0.15
Omicron,"<$10,000",1.61 (1.22–2.14),<0.001
Omicron,$10–25K,1.50 (1.13–1.98),0.005
Omicron,$25–35K,1.18 (0.84–1.64),0.34
Omicron,$100–150K,1.11 (0.82–1.50),0.51
Omicron,$150–200K,1.31 (0.88–1.94),0.19
Omicron,≥$200K,1.24 (0.84–1.83),0.28
Omicron,Missing,1.59 (1.24–2.05),<0.001
