sensitivity,variable,AOR,CI_lower,CI_upper,p_value
S1,f.incomeless_10k,1.1743469075951785,1.0065341599384434,1.3701379588177114,0.041073785573857
S1,f.income10k_25k,1.2085189408491688,1.0484899705578534,1.3929728193910351,0.0089653632269658
S1,f.insuranceMedicaid,1.2356235631980157,1.0743180011384614,1.421148662046282,0.0030327788312229
S1,f.employmentUnemployed,1.2380644408785344,1.0903738722883582,1.405759619451442,0.0009842914804876828
S1,f.housingRent,1.1162845716372278,1.0077619121284067,1.2364936895100034,0.0350157053134851
S2,f.incomeless_10k,1.24287932337415,1.073126221309222,1.4394849196643238,0.0037085242359011
S2,f.income10k_25k,1.2017315709803822,1.0488983866616617,1.3768338163693004,0.0080991626828854
S2,f.insuranceMedicaid,1.3475498073301249,1.1798615060483706,1.5390708773246569,1.085350405355044e-05
S2,f.employmentUnemployed,1.2113744118840022,1.0743258958735444,1.365905793952898,0.0017457710313394
S2,f.housingRent,1.1573258024333244,1.0497008251163955,1.2759854817008638,0.0033461146803028
S3,f.incomeless_10k,1.1292550915138524,0.96646133496343,1.3194703353116677,0.1258965206146367
S3,f.income10k_25k,1.1861798933944376,1.0270361242309252,1.3699836902493172,0.0201817511584425
S3,f.insuranceMedicaid,1.4352847199209204,1.243491401517935,1.6566598086032382,7.902836557999269e-07
S3,f.employmentUnemployed,1.2666671188360714,1.1159803772962151,1.4377005389895,0.00025406903177143314
S3,f.housingRent,1.0895232053591255,0.9808517931982772,1.2102346381458482,0.109741781985539
S4,f.incomeless_10k,1.1995143124135892,1.0397852199623017,1.3837805712772222,0.0125920105390805
S4,f.income10k_25k,1.2068273230514877,1.0574503692227923,1.3773054793428008,0.0052935664835484
S4,f.insuranceMedicaid,1.3005130260860749,1.1427280621340676,1.4800845337262116,6.839585522063084e-05
S4,f.employmentUnemployed,1.2539325001355266,1.115762140412313,1.4092131807905717,0.00014529947153623166
S4,f.housingRent,1.1333127879124414,1.0301877094371663,1.2467610159585278,0.0101403550983354
S5,f.insuranceMedicaid,1.330154328692844,1.1685854874030612,1.514061707263057,1.5748750548035664e-05
S5,f.employmentUnemployed,1.2384272052327985,1.103583824029487,1.389746668323529,0.00027713543105266656
S5,f.housingRent,1.135188056286876,1.0315673481709635,1.2492174412278945,0.0094206462359667
S5,f.income_3catlt_35k,1.1618564090776409,1.037929408596443,1.3005800819732316,0.0091361909986692
