Variable,AoU_AOR,AoU_CI_lo,AoU_CI_hi,AoU_p,MS_AOR,MS_CI_lo,MS_CI_hi,MS_p,AoU_dir,MS_dir,Concordant
AIDS,0.7364355623652143,0.5553656757901118,0.9765409731967916,0.0335968367809799,1.5872996036956295,1.376541737599844,1.8303259269750665,2.060157261623226e-10,Protective,Risk,False
Cerebrovascular_Disease,1.2488127339497128,1.1326282695896743,1.3769153449082991,8.208151699018473e-06,0.9935318628823908,0.96694188835785,1.0208530362036,0.6391797981986571,Risk,Protective,False
Chronic_Pulmonary_Disease,0.8934892628376964,0.8265987808827062,0.9657926932262576,0.0045583181061759,1.134959103571046,1.1182079774622022,1.151961167100808,1.6177526159217352e-62,Protective,Risk,False
Congestive_Heart_Failure,1.2655813738384467,1.1462318429031897,1.3973579810433592,3.152641864100392e-06,1.8367178385042424,1.7899837939276282,1.884672045481152,0.0,Risk,Risk,True
Dementia,1.2914222648607738,1.1251839934756391,1.48222110859084,0.0002751432527445747,1.887530179074328,1.7818087743646704,1.9995244316757397,1.7300886748039346e-103,Risk,Risk,True
Diabetes_with_Chronic_Complications,1.0015715568886323,0.9055325579671007,1.1077962628095417,0.9756416994732792,1.7195147276495917,1.6808795485715182,1.759037940057396,0.0,Risk,Risk,True
Diabetes_without_Chronic_Complications,1.0478688601513522,0.9404193699817424,1.167595206058135,0.3969359954317204,1.8028047655581083,1.7715866988011684,1.8345729423902144,0.0,Risk,Risk,True
HIV,1.0352556310396543,0.7124239742427338,1.5043769726285907,0.8558097536744538,0.8296638468922172,0.7439188202635653,0.9252919540281528,0.0007934563741734572,Risk,Protective,False
Hemiplegia_Paraplegia,1.0759815377498416,0.9178023107490936,1.2614222649249929,0.3666782905987151,2.0256746078456653,1.930177031240723,2.125897029368877,1.574184722101711e-180,Risk,Risk,True
Liver_Disease_Mild,0.8221844888314077,0.7525989752510621,0.8982038986293573,1.4282645344587285e-05,1.0939085288063464,1.0729818106447813,1.115243387654612,8.401001361064146e-20,Protective,Risk,False
Liver_Disease_Moderate_Severe,1.2908287646963938,1.0687149762071737,1.5591050344227726,0.0080536333718987,1.5860946925322394,1.4845487806742923,1.6945865345942304,1.6539024054268886e-42,Risk,Risk,True
Malignancy,1.0636830558498749,0.9641770172443228,1.1734584241966275,0.2179450688197308,0.9606605844554464,0.9325087821454692,0.9896622704217216,0.0081741772798325,Risk,Protective,False
Metastatic_Solid_Tumor,1.3134214149032393,1.113026508699276,1.5498964307170138,0.0012475968782557,1.4690528544705292,1.4056471090048157,1.5353186979881,1.875882354485325e-65,Risk,Risk,True
Myocardial_Infarction,0.9998318100744488,0.8940548412411121,1.118123410694843,0.9976475918144556,1.555493291294276,1.506044191285573,1.6065659913977297,2.9584005335602686e-158,Protective,Risk,False
Peptic_Ulcer_Disease,1.0008619846699864,0.8816063077308077,1.136249484121674,0.9893798083684676,0.8777786401240745,0.8383134435860241,0.9191017356970306,2.7885672033849257e-08,Risk,Protective,False
Peripheral_Vascular_Disease,0.9620807663366592,0.8714712255205574,1.0621112594991802,0.4436873769772189,0.9302522466488556,0.9069371178911064,0.9541667501794164,2.3664068088122083e-08,Protective,Protective,True
Renal_Disease_Mild_Moderate,1.0816995670315852,0.9697194664014092,1.2066107713176235,0.1589776300374344,1.416182355557143,1.3779548831819362,1.4554703413512085,4.154913066655936e-137,Risk,Risk,True
Renal_Disease_Severe,1.2514853445621503,1.09424995070247,1.431314268415904,0.0010571478164226,2.6476982903551085,2.531586633836054,2.76913542797736,0.0,Risk,Risk,True
Rheumatic_Disease,0.9021826433555844,0.8039743027221831,1.0123874845454208,0.080010402951107,0.8434864807166447,0.8164672523838672,0.8713998523204073,1.2199389726354538e-24,Protective,Protective,True
f.age45-54,1.0279210084012789,0.9149361894351116,1.1548582422617564,0.6429721073198235,1.3135283919792935,1.2919306606504437,1.3354871813840616,4.750616926081376e-228,Risk,Risk,True
f.age55-64,1.3572370678014307,1.2185407519986189,1.5117200267556696,2.7951109096597108e-08,1.5272497585677045,1.5016842600678115,1.5532504981704898,0.0,Risk,Risk,True
f.age65+,1.446216096801472,1.29506448680811,1.615009152017299,5.7230201812763086e-11,1.4550181441843608,1.2688374344205104,1.6685177647462694,7.94086396683112e-08,Risk,Risk,True
f.ethnicityHispanic,0.9612118350904352,0.7986318279165318,1.1568887685434015,0.6756105990928581,,,,,Protective,,False
f.ethnicityOther,1.0351525487469864,0.7891495859419797,1.3578424398440532,0.802933322548167,,,,,Risk,,False
f.planBasic,,,,,2.6937925211642617,1.4236924219252958,5.096970409709236,0.0023210228871286,,Risk,False
f.planCDHP,,,,,1.157706062672658,0.9453053108891408,1.417831162175929,0.1567503277818275,,Risk,False
f.planComprehensive,,,,,1.1305605865213568,1.0778259900257223,1.1858753190438565,4.773800906774191e-07,,Risk,False
f.planEPO,,,,,0.9171678231386168,0.8584683866189069,0.9798809471760486,0.0103986277460806,,Protective,False
f.planHDHP,,,,,1.0924235224188874,1.0664915011648326,1.118986087587813,5.517466986850097e-13,,Risk,False
f.planHMO,,,,,1.0901668685535422,1.0648069729036584,1.1161307462619008,6.528559471309335e-13,,Risk,False
f.planPOS,,,,,1.0043175684076602,0.9775453316657132,1.0318230219498403,0.7546376267084898,,Risk,False
f.planUnknown,,,,,1.0580633841019689,1.0351931701593713,1.081438862859731,4.141776626750448e-07,,Risk,False
f.raceAsian,1.3037375282526755,0.9774734617308656,1.738903007724209,0.0710822433847105,,,,,Risk,,False
f.raceBlack,2.2619179848163955,2.0638972769451813,2.478937797528649,2.8107842838795664e-68,,,,,Risk,,False
f.raceOther,1.4047284675915703,1.1650986165310304,1.6936438166387673,0.0003690620591672297,,,,,Risk,,False
f.regionNorthCentral,,,,,1.0515627372448646,1.0319415233940188,1.0715570265309486,1.6783172770031848e-07,,Risk,False
f.regionNortheast,,,,,0.8204396490035734,0.8022146885522151,0.8390786497214505,8.172220311378553e-67,,Protective,False
f.regionUnknown,,,,,1.190245120907455,1.0281553259790364,1.3778885466502824,0.0197137579557715,,Risk,False
f.regionWest,,,,,1.092155335002325,1.0683849261825469,1.1164546097033152,4.0994846489834565e-15,,Risk,False
f.sexFemale,0.7581781224101709,0.7008838736733044,0.8201559300954233,5.0058765409954186e-12,0.5479129361201783,0.5405918059714078,0.5553332149168994,0.0,Protective,Protective,True
f.sexOther,0.63223095659833,0.4354860979179464,0.9178616364386292,0.0159252653503388,,,,,Protective,,False
f.vaccVaccinated,0.4460030384350693,0.3938421017872056,0.5050722342549109,4.3476055007610566e-37,0.4861628976274656,0.4748123549098932,0.4977847787351434,0.0,Protective,Protective,True
f.wavedelta,1.2556100991445691,1.129834705613509,1.395387053735221,2.3705276610062703e-05,1.4782692661412744,1.4528352809874567,1.5041485100310754,0.0,Risk,Risk,True
f.waveomicron,0.9913707389423358,0.9115098977663542,1.078228491472724,0.8397161034282397,0.4640135543803455,0.4552702993184542,0.4729247196028418,0.0,Protective,Protective,True
