Domain,Variable,Domain AOR,Domain 95% CI,Joint AOR,Joint 95% CI
Income,<$10K,1.46***,1.29–1.65,1.18*,1.02–1.36
Income,$10–25K,1.37***,1.21–1.55,1.18*,1.04–1.35
Income,$25–35K,1.19*,1.02–1.38,1.12,0.96–1.31
Income,$100–150K,1.20*,1.03–1.41,1.24**,1.06–1.46
Income,$150–200K,1.19,0.96–1.48,1.26*,1.01–1.57
Income,>$200K,1.10,0.90–1.34,1.15,0.93–1.41
Insurance,Medicare,1.06,0.93–1.20,0.95,0.83–1.09
Insurance,Medicaid,1.59***,1.43–1.77,1.33***,1.16–1.51
Insurance,Other/None,1.31***,1.13–1.52,1.15,0.98–1.35
Education,Never attended,3.35***,1.66–6.78,2.85**,1.40–5.82
Education,Below GED,1.35***,1.18–1.53,1.13,0.98–1.30
Education,GED/some college,1.11*,1.02–1.21,1.02,0.93–1.12
Employment,Unemployed,1.41***,1.28–1.56,1.23***,1.09–1.38
Employment,Student,1.61***,1.24–2.09,1.52**,1.16–1.98
Employment,Others/retired,1.36***,1.22–1.51,1.26***,1.12–1.42
Housing,Rent,1.28***,1.17–1.39,1.13*,1.03–1.25
Housing,Other,0.99,0.86–1.13,0.86*,0.74–1.00
Stability,Unstable,1.01,0.92–1.11,0.94,0.85–1.04
Disability,Any disability,0.94,0.83–1.07,0.86*,0.76–0.98
